,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract,year,authors,first_author,second_author,number_of_authors,study
0,42351029,2026 Jun 25,2026 Jun 25,BMC Musculoskelet Disord,"['Zhang S', 'Wang H', 'He L', 'Zhang H', 'Zhang R']",Zhang R,Effects of electrical stimulation on lower limb function after anterior cruciate ligament reconstruction: a systematic review and network meta-analysis.,,,,['English'],100968565,,1471-2474,"['Journal Article', 'Systematic Review']",PubMed - as supplied by publisher,aheadofprint,"['42351029', '10.1186/s12891-026-10069-8', '10.1186/s12891-026-10069-8']",10.1186/s12891-026-10069-8,"['2026/04/22 00:00', '2026/06/05 00:00', '2026/06/26 04:10', '2026/06/26 04:10', '2026/06/25 23:56']",[],1,0,BMC musculoskeletal disorders,doi: 10.1186/s12891-026-10069-8,2026 Jun 25;,"OBJECTIVE: To compare the therapeutic effects of different electrical stimulation modalities combined with rehabilitation training on lower limb function improvement in patients following anterior cruciate ligament reconstruction. METHODS: PubMed, Embase, Web of Science, Scopus, and CNKI databases were systematically searched from inception to March 2, 2026, and a meta-analysis was subsequently conducted to evaluate the included studies (PROSPERO registration number: CRD420261364272). RESULTS: A total of 11 randomized controlled trials involving 629 patients were included. Traditional meta-analysis showed that electrical stimulation combined with rehabilitation training was significantly superior to rehabilitation training alone in Visual Analog Scale (SMD = -0.596, 95% CI -0.990 to -0.202) and range of motion (SMD = 0.716, 95% CI 0.138 to 1.294), but showed no significant difference in International Knee Documentation Committee (MD = 1.931, 95% CI -3.663 to 7.526, P = 0.499). Network meta-analysis revealed that neuromuscular electrical stimulation significantly improved Visual Analog Scale (SMD = -0.837, 95% CI -1.420 to -0.254) and range of motion (SMD = 1.274, 95% CI 0.927 to 1.622) compared with rehabilitation alone, and was superior to transcutaneous electrical nerve stimulation in range of motion (SMD = -1.185, 95% CI -1.717 to -0.653). The surface under the cumulative ranking curve results indicated that neuromuscular electrical stimulation ranked first for Visual Analog Scale (92.5%) and range of motion (99.9%). No significant difference was found compared with rehabilitation alone for International Knee Documentation Committee scores (P > 0.05). CONCLUSION: Electrical stimulation combined with rehabilitation training can effectively improve Visual Analog Scale and range of motion after anterior cruciate ligament reconstruction, with neuromuscular electrical stimulation demonstrating the optimal effect, although its improvement on International Knee Documentation Committee was limited. Based on the current evidence, rehabilitation training combined with neuromuscular electrical stimulation is recommended as an adjunctive treatment protocol.",2026,"Zhang S, Wang H, He L, Zhang H, Zhang R",Zhang,Wang,5,"Zhang et al., 2026"
1,42301400,2026 Jun 16,2026 Jun 16,Sports Med Open,"['Liu C', 'Lu W', 'Liu X', 'Yuan D', 'Hong Z', 'Bi Q', 'Li Y', 'Xiao W']",Xiao W,The Influence of Different Autologous Tendons on the Recovery of Knee Muscle Strength Following Anterior Cruciate Ligament Reconstruction: A Systematic Review and Network Meta-analysis.,12,1,,['English'],101662568,2199-1170,2198-9761,"['Journal Article', 'Systematic Review']",PubMed,epublish,"['42301400', '10.1186/s40798-026-01043-8', '10.1186/s40798-026-01043-8', 'PMC13272697', 'pmc-id: PMC13272697;']",10.1186/s40798-026-01043-8,"['2025/03/26 00:00', '2026/05/26 00:00', '2026/06/16 13:33', '2026/06/16 13:32', '2026/06/16 11:07', '2026/06/16 00:00']",[],1,84,Sports medicine - open,doi: 10.1186/s40798-026-01043-8,2026 Jun 16;12(1),"BACKGROUND: Outcomes of anterior cruciate ligament reconstruction (ACLR) vary significantly depending on autograft selection, particularly in restoring knee flexor and extensor strength, which are essential for athletic performance. The aim of this study was to investigate the impact of ACLR with different autografts on the recovery of knee flexor and extensor muscle strength. Subgroup analyses by follow-up duration were performed to characterize recovery across postoperative phases. METHODS: A frequentist network meta-analysis of randomized controlled trials (RCT) and observational studies was conducted. Databases (PubMed, Embase, Web of Science, Cochrane Library) were searched from inception to January 2025. Eligible studies reported isokinetic strength outcomes after ACLR. The primary outcome was the limb symmetry index (LSI) for peak torque, which represented the ratio of injured-limb strength to uninjured-limb strength, reflecting inter-limb symmetry. Secondary outcomes were peak torque, the hamstring-to-quadriceps (H/Q) ratio and side-to-side deficit. Risk of bias (RoB) was assessed using the Cochrane RoB and the Risk of Bias Assessment Tool for Non-randomized Studies (RoBANS). Certainty of evidence was graded using the Grading of Recommendations Assessment, Development and Evaluation (GRADE) framework. Graft performance was ranked using surface under the cumulative ranking curve (SUCRA) probabilities, and mean differences (MDs) with 95% confidence intervals (CIs) were calculated. RESULTS: Thirty-one studies involving 2384 patients were included in the quantitative analysis. For knee extensor strength, assessed using LSI at 60 degrees /s, 4-strand semitendinosus tendon (4S-ST) and 4-strand hamstring tendon (4S-HT) autografts outperformed bone-patella tendon-bone (BPTB) and quadriceps tendon (QT) autografts. At 180 degrees /s, the 4S-HT autograft showed higher knee extensor strength LSI than the QT autograft, significantly outperformed the BPTB autograft at long-term follow-up (>/= 18 months), and consistently ranked highest according to SUCRA. The BPTB autograft also showed higher knee extensor strength LSI than the QT autograft. For knee flexor strength (LSI, at 60 degrees /s and 180 degrees /s), the QT autograft outperformed the 4S-HT autograft, with SUCRA consistently identifying the QT autograft as the top-ranked option and the 4S-HT autograft as the lowest-ranked option. No significant intergroup LSI differences were observed at short-term follow-up (</= 6 months), whereas QT autograft's superiority in knee flexor strength became evident in the mid-term follow-up (6-12 months). The 4S-ST autograft may be superior to 4S-HT autograft in knee flexor strength LSI. Network inconsistency tests showed no significant inconsistency. However, GRADE assessments rated the certainty of evidence for comparisons of knee extensor and flexor strength between autografts as very low to low. CONCLUSIONS: The 4S-HT autograft was associated with greater knee extensor strength LSI, whereas the QT autograft had the most consistent advantage in knee flexor strength LSI. The 4S-ST autograft ranked between these grafts, but may provide greater knee flexor strength LSI than the 4S-HT autograft. The BPTB autograft was associated with greater knee extensor strength LSI than the QT autograft. Given the very low to low certainty of evidence, these findings should be interpreted with caution. PROSPERO REGISTRATION NUMBER: CRD42024530838.",2026,"Liu C, Lu W, Liu X, Yuan D, Hong Z, Bi Q, Li Y, Xiao W",Liu,Lu,8,"Liu et al., 2026"
2,42214450,2026 May 22,2026 May 22,Am J Phys Med Rehabil,"['Si X', 'Liu YH', 'Zhou XR', 'Ning SJ', 'Li QB', 'Cheng F']",Cheng F,Different Exercise Interventions on Knee Function Recovery After Anterior Cruciate Ligament Reconstruction: A Systematic Review of Network Meta-Analysis.,,,,['English'],8803677,0894-9115,1537-7385,['Journal Article'],PubMed - as supplied by publisher,aheadofprint,"['42214450', '10.1097/PHM.0000000000003048', '00002060-990000000-00964']",10.1097/PHM.0000000000003048,"['2025/07/18 00:00', '2026/04/24 00:00', '2026/05/30 00:33', '2026/05/30 00:33', '2026/05/29 19:23']",[],1,0,American journal of physical medicine & rehabilitation,doi: 10.1097/PHM.0000000000003048,2026 May 22;,"OBJECTIVE: To evaluate the effects of different exercise interventions, including blood flow restriction training (BFRT), whole-body vibration training (WBVT), and isokinetic training (IT), on knee function recovery post-ACL reconstruction using network meta-analysis. DESIGN: A comprehensive search of PubMed, Cochrane Library, Web of Science, and Embase identified randomized controlled trials (RCTs) published from database inception, with the earliest eligible RCT published in 2013, until April 25, 2024. Primary outcomes included Lysholm score, International Knee Documentation Committee (IKDC) score, quadriceps strength, and limb symmetry index (LSI). Network meta-analysis was performed with Stata 17.0 and RevMan 5.4. RESULTS: A total of 29 studies with nine interventions were included. Functional resistance training (FRT) and water-based training (WBT) showed the best improvements in Lysholm scores. WBVT and BFRT excelled in quadriceps strength, while WBVT and IT were superior in LSI. CONCLUSION: WBVT and IT improve quadriceps strength and LSI, while FRT and WBT are effective in early rehabilitation. BFRT enhances strength but has limited effect on LSI.",2026,"Si X, Liu YH, Zhou XR, Ning SJ, Li QB, Cheng F",Si,Liu,6,"Si et al., 2026"
3,41818333,2026 Jun 3,2026 Mar 12,J Bone Joint Surg Am,"['Vosoughi F', 'Younesian S', 'Mousavi SM', 'Shaker F', 'Menbari Oskouie I']",Menbari Oskouie I,Comparison of Autograft Types in Anterior Cruciate Ligament Reconstruction: A Systematic Review and Bayesian Network Meta-Analysis of Randomized Clinical Trials.,108,11,822-834,['English'],0014030,0021-9355,1535-1386,"['Journal Article', 'Systematic Review', 'Network Meta-Analysis', 'Comparative Study']",PubMed - indexed for MEDLINE,ppublish+epublish,"['41818333', '10.2106/JBJS.25.01315', '00004623-990000000-01739']",10.2106/JBJS.25.01315,"['2026/06/07 13:43', '2026/03/12 18:53', '2026/03/12 14:04']",[],1,0,The Journal of bone and joint surgery. American volume,doi: 10.2106/JBJS.25.01315,2026 Jun 3;108(11):822-834,"BACKGROUND: The literature regarding optimal autograft choice for anterior cruciate ligament (ACL) reconstruction (ACLR) remains inconclusive. This network meta-analysis (NMA) compares common autografts for primary ACLR. METHODS: PubMed, Scopus, Web of Science, and Embase were searched up to May 3, 2025, for randomized clinical trials (RCTs) on primary ACLR in adults that compared >/=2 of the following tendon autografts: 4-strand semitendinosus (4SST), 4-strand semitendinosus-gracilis (4SSTG), its 5-strand variant (5SSTG), bone-patellar tendon-bone (BPTB), quadriceps tendon with bone (QTB), and free quadriceps tendon (FQT). Outcomes analyzed in the NMA were the International Knee Documentation Committee (IKDC) subjective score, Lysholm score, Tegner Activity Scale, anteroposterior (instrumented) and rotational (pivot-shift) stability, and rerupture or revision ACLR rate. Autografts were ranked using surface under the cumulative ranking (SUCRA) values. RESULTS: A total of 44 RCTs with 3,491 patients were included in the NMA. With respect to the IKDC, QTB was statistically superior to BPTB (mean difference = 3.46, 95% credible interval [CrI]: 0.29 to 6.77), although the difference was likely not clinically meaningful. QTB ranked highest for the IKDC (SUCRA = 90.1%) and Tegner (SUCRA = 85.3%), while BPTB ranked lowest for the IKDC and Lysholm. With respect to knee laxity, QTB ranked second in anteroposterior and first in rotational stability, and it carried a significantly lower risk of a 2+ or higher pivot-shift than 4SST (risk ratio = 0.26, 95% CrI: 0.07 to 0.85). QTB was associated with a decreased risk of rerupture/revision compared with other autografts (SUCRA = 83.3%). CONCLUSIONS: Based on the autograft rankings, QTB was found to lead to improved functional, activity-related, and stability outcomes overall, while also reducing the risk of graft failure. LEVEL OF EVIDENCE: Therapeutic Level I . See Instructions for Authors for a complete description of levels of evidence.",2026,"Vosoughi F, Younesian S, Mousavi SM, Shaker F, Menbari Oskouie I",Vosoughi,Younesian,5,"Vosoughi et al., 2026"
4,41733058,2026 May,2026 Feb 24,Knee Surg Sports Traumatol Arthrosc,"['Zhao B', 'Zhao W', 'Chen L', 'Wang B', 'Zhang L', 'Cheng A', 'Kang S']",Kang S,"Comparative effectiveness of neuromuscular, virtual reality, proprioceptive, blood flow restriction and conventional training after ACL reconstruction: A network meta-analysis of randomized controlled trials.",34,5,1863-1884,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Network Meta-Analysis', 'Systematic Review', 'Comparative Study']",PubMed - indexed for MEDLINE,ppublish+epublish,"['41733058', '10.1002/ksa.70345']",10.1002/ksa.70345,"['2026/01/12 00:00', '2025/08/01 00:00', '2026/01/21 00:00', '2026/04/28 17:38', '2026/02/24 18:46', '2026/02/24 06:32']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.70345,2026 May;34(5):1863-1884,"PURPOSE: Quadriceps atrophy and post-operative pain are common following anterior cruciate ligament reconstruction (ACLR) and can hinder functional recovery. This study aimed to systematically compare the effectiveness of neuromuscular training (NMT), virtual reality training (VRT), proprioceptive training (PT), blood flow restriction training (BFRT) and conventional rehabilitation training (CRT) in individuals undergoing rehabilitation after ACLR. METHODS: A systematic review and network meta-analysis (NMA) were conducted in accordance with PRISMA-NMA guidelines. Six databases (PubMed, EMBASE, Cochrane Library, Web of Science, CNKI and Wanfang) were searched for randomized controlled trials (RCTs) published up to 1 May 2025. Risk of bias was assessed using the Cochrane RoB 2.0 tool. A frequentist NMA was performed in Stata 17.0MP to estimate standardized mean differences (SMDs) and 95% confidence intervals (CIs). Interventions were ranked using surface under the cumulative ranking curve (SUCRA) values. The certainty of evidence was appraised using the CINeMA framework. RESULTS: Twenty-two RCTs involving 972 participants (mean age 23-39 years) were included. Compared with CRT, VRT showed favourable outcomes in visual analogue scale for pain (SMD = -0.72, 95% CI = [-1.22 to -0.22], SUCRA = 86.5%), functional hop tests (SMD = 1.26, 95% CI = [0.46-2.05], SUCRA = 97.5%) and isokinetic muscle strength (60 degrees /s) (SMD = 2.24, 95% CI = [1.28-3.20], SUCRA = 99.6%). BFRT also outperformed CRT in several outcomes, including the International Knee Documentation Committee Subjective Knee Evaluation Form (SMD = 1.37, 95% CI = [0.77-1.96], SUCRA = 81.8%), Lysholm Score (SMD = 1.07, 95% CI = [0.16-1.97], SUCRA = 74.7%) and knee range of motion (SMD = 1.42, 95% CI = [0.80-2.04], SUCRA = 99.1%), with relatively high SUCRA values. Compared with CRT, NMT demonstrated modest improvements in the Functional Hop Tests (SMD = 0.29) and the Lysholm Score (SMD = 1.00). Certainty of evidence ranged from moderate to low, primarily due to imprecision and risk of bias. CONCLUSIONS: VRT and BFRT may offer benefits across several domains of post-operative rehabilitation following ACLR, with NMT also showing potential. However, given the limitations in evidence certainty, further high-quality RCTs are warranted to confirm these findings and inform clinical practice. LEVEL OF EVIDENCE: Level I.",2026,"Zhao B, Zhao W, Chen L, Wang B, Zhang L, Cheng A, Kang S",Zhao,Zhao,7,"Zhao et al., 2026"
5,41257834,2025 Nov 19,2025 Nov 19,BMC Musculoskelet Disord,"['Zhu J', 'Yang X', 'Li T', 'Xing W', 'Zhang Z', 'Chen Z', 'Zhu W']",Zhu W,Preventive interventions on ACL injury reduction based on the landing error scoring system evaluation tool: a systematic review and network meta-analysis.,26,1,1061,['English'],100968565,,1471-2474,"['Journal Article', 'Systematic Review', 'Network Meta-Analysis']",PubMed - indexed for MEDLINE,epublish,"['41257834', 'PMC12628533', 'pmc-id: PMC12628533;', '10.1186/s12891-025-09290-8', '10.1186/s12891-025-09290-8']",10.1186/s12891-025-09290-8,"['2025/06/26 00:00', '2025/10/17 00:00', '2026/06/27 04:10', '2025/11/19 12:28', '2025/11/19 08:51', '2025/11/19 00:00']",[],1,82,BMC musculoskeletal disorders,doi: 10.1186/s12891-025-09290-8,2025 Nov 19;26(1):1061,"BACKGROUND: Anterior Cruciate Ligament (ACL) injuries pose a significant risk in sports, often leading to long rehabilitation and re-injury. The Landing Error Scoring System (LESS) has been proposed as a means of assessing the risk of potential ACL damage. This study employed Network meta-analysis to assess the effectiveness of various preventive interventions in reducing ACL injury risk among athletes, utilizing LESS evaluation tool to identify the most effective strategies. METHODS: A comprehensive search for related publications in English in databases, such as WOS, Cochrane Library, Embase, PubMed, and Scopus from the establishment of the databases to February 2025. Relevant content in the literature that passed the screening criteria was extracted, including the sample, first author, intervention, intervention duration, and outcome. We compared the Mean Difference (MD) values across studies and used network meta-analysis based on Bayesian modelling. RESULTS: A Network meta-analysis of 20 studies (N = 1,356) was conducted. After comparison, assessing the impact of eight training interventions on the LESS scores. Dynamic Taping (MD, -1.87, 95% CrI, -3.29 to -0.46), Neuromuscular Training (MD, -1.04, 95% CrI, -2.01 to -0.10), and Feedback Training (MD, -0.86 95% CrI, -1.54 to -0.20) were the most effective in reducing injury risk. The SUCRA rankings from highest to lowest are as follows: Dynamic Taping (79.0), Neuromuscular Training (53.2), and Feedback Training (43.0). CONCLUSION: Network meta-analysis simultaneously integrates evidence from both direct comparisons and indirect comparisons. Evidence from Network meta-analysis based on Bayesian models, Dynamic Taping, Neuromuscular Training and Feedback Training are effective intervention training programs for ACL injury prevention.",2025,"Zhu J, Yang X, Li T, Xing W, Zhang Z, Chen Z, Zhu W",Zhu,Yang,7,"Zhu et al., 2025"
6,41190954,2025 Nov 5,2025 Nov 5,Knee Surg Sports Traumatol Arthrosc,"['Liu X', 'Li X', 'Li D', 'Fan Z', 'Liu H', 'Liu H', 'Ge Z', 'Zhang J', 'Jiu J', 'Li R', 'Zhuang Z', 'Li S', 'Du G', 'Jia L', 'Ren Y', 'Li JJ', 'Yan L', 'Wang B']",Wang B,Clinical effects of different remnant-preserving versus standard nonpreserving techniques in anterior cruciate ligament reconstruction: A systematic review and meta-analysis.,,,,['English'],9314730,0942-2056,1433-7347,['Journal Article'],PubMed - as supplied by publisher,aheadofprint,"['41190954', '10.1002/ksa.70177']",10.1002/ksa.70177,"['2025/10/07 00:00', '2025/07/02 00:00', '2025/10/08 00:00', '2025/11/05 12:32', '2025/11/05 12:32', '2025/11/05 10:03']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.70177,2025 Nov 5;,"PURPOSE: In anterior cruciate ligament reconstruction (ACLR), the clinical benefits and limitations of nonpreserving versus different remnant-preserving ACLR are not well defined. There is also a lack of systematic analysis of ACL remnant length. METHODS: Database searches were performed in PubMed, Embase, Web of Science and Cochrane CENTRAL from inception to 25 April 2025. Risk of bias was assessed using the Cochrane Collaboration's tool and the Newcastle-Ottawa scale (NOS) critical appraisal tools. Certainty of evidence was evaluated using the grading of recommendations assessment, development and evaluation (GRADE) framework. The reported outcomes used for analysis included stability-related indicators, functional scores, synovial coverage and complications. Subgroup analyses were performed across three remnant-preserving surgical approaches: Augmentation, tension and sparing. Meta-regression and network meta-analyses were performed to investigate whether improved outcomes were associated with remnant length. Sensitivity analysis was used to assess the robustness of the results. RESULTS: Our analysis included 36 articles. For stability, the remnant-preserving (R) group showed improved outcomes compared to the nonremnant (NR) group in the Lachman test (weighted mean difference [WMD] = 1.61, p = 0.0003), Side-to-side anterior laxity (SSD, WMD = -0.27, p = 0.03) and Pivot shift test (WMD = 1.34, p = 0.03), with the highest improvement observed in the Sparing subgroup. For functional scoring, the R group exhibited significantly higher Lysholm knee scoring scale scores (WMD = 1.52, p = 0.01), Tegner athletic ability evaluation score (WMD = 0.40, p < 0.00001), and International Knee Documentation Committee (IKDC) subjective scores (WMD = 1.00, p = 0.001), with the Tension subgroup showing the highest overall improvement. The R group also achieved better synovial coverage (odds ratio [OR] = 2.00, p = 0.0004) and lower failure (OR = 0.48, p = 0.002), particularly in the augmentation subgroup. Meta-regression indicated a correlation between increased graft length and reduced SSD (beta = -1.33, p = 0.01), improved IKDC scores (beta = 20.03, p = 0.01), and fewer complications (beta = -2.61, p = 0.01). Network meta-analysis indicated a 75% remnant preservation ratio minimised SSD alongside enhanced functional scores. CONCLUSION: Remnant-preserving ACLR showed improvements in stability and synovial coverage. However, in terms of clinical outcomes, the improvement in functional recovery has not reached a significant level. Sparing exceled in improving stability, while augmentation effectively reduced failure and tension favoured function. Increasing remnant preservation length significantly improved stability and function concomitantly reducing complications. CLINICAL TRIALS: CRD42024550746. LEVEL OF EVIDENCE: Level III.",2025,"Liu X, Li X, Li D, Fan Z, Liu H, Liu H, Ge Z, Zhang J, Jiu J, Li R, Zhuang Z, Li S, Du G, Jia L, Ren Y, Li JJ, Yan L, Wang B",Liu,Li,18,"Liu et al., 2025"
7,40953143,2025 Nov 5,2025 Sep 15,J Bone Joint Surg Am,"['Chung K', 'Han JH', 'Jung SH', 'Moon HS', 'Jung M', 'Kim SH']",Kim SH,Hamstring Tendon Versus Bone-Patellar Tendon-Bone Autograft for ACL Reconstruction with Concurrent Lateral Extra-Articular Procedure: A Systematic Review and Network Meta-Analysis of Randomized Controlled Trials.,107,21,2425-2436,['English'],0014030,0021-9355,1535-1386,"['Journal Article', 'Systematic Review', 'Comparative Study', 'Network Meta-Analysis']",PubMed - indexed for MEDLINE,ppublish+epublish,"['40953143', '10.2106/JBJS.25.00068', '00004623-202511050-00013']",10.2106/JBJS.25.00068,"['2025/11/05 12:33', '2025/09/15 18:34', '2025/09/15 14:03']",[],1,0,The Journal of bone and joint surgery. American volume,doi: 10.2106/JBJS.25.00068,2025 Nov 5;107(21):2425-2436,"BACKGROUND: No studies have yet evaluated the clinical outcomes of different anterior cruciate ligament (ACL) autografts in combination with a lateral extra-articular procedure (LEP). Thus, we systematically reviewed randomized controlled trials (RCTs) and conducted a network meta-analysis (NMA) to compare graft options for ACL reconstruction (ACLR) with concurrent LEP. METHODS: A systematic search in the PubMed, Embase, Cochrane Library, and Google Scholar databases identified RCTs on primary ACLR plus LEP. Data on ACLR failure, residual knee instability, patient-reported outcome measures, and complications were analyzed using NMA. RESULTS: On the basis of 13 studies (1,690 patients), ACLR with a hamstring tendon (HT) autograft plus LEP was associated with significantly lower odds of graft rupture (odds ratio [OR]: 0.28; 95% confidence interval [CI]: 0.16 to 0.50), graft failure (OR: 0.27; 95% CI: 0.15 to 0.47), clinical failure (OR: 0.48; 95% CI: 0.36 to 0.65), and residual pivot shift (OR: 0.43; 95% CI: 0.22 to 0.84) compared with isolated ACLR. Bone-patellar tendon-bone (BPTB) autograft plus LEP was associated with a significantly lower clinical failure rate (OR: 0.30; 95% CI: 0.12 to 0.80) compared with isolated ACLR. Both HT (mean difference [MD]: 2.40; 95% CI: 1.25 to 3.55) and BPTB (MD: 3.70; 95% CI: 0.85 to 6.55) autograft plus LEP were associated with higher Lysholm scores compared with isolated ACLR. The outcomes did not differ between the graft types when combined with LEP. CONCLUSIONS: The odds of graft rupture, graft failure, and clinical failure after ACLR with HT autograft plus LEP were lower by 72%, 73%, and 52%, respectively, than the odds after isolated ACLR. ACLR with BPTB autograft plus LEP significantly lowered only the odds of clinical failure, by approximately 70%, potentially due to the smaller sample size. Both grafts remain viable options for ACLR plus LEP, with the benefit of LEP requiring further validation. LEVEL OF EVIDENCE: Therapeutic Level I . See Instructions for Authors for a complete description of levels of evidence.",2025,"Chung K, Han JH, Jung SH, Moon HS, Jung M, Kim SH",Chung,Han,6,"Chung et al., 2025"
8,40839826,2025 Dec 1,2025 Aug 20,Clin Orthop Relat Res,['Meshram P'],Meshram P,CORR Insights®: Which Graft Is Associated With Better Outcomes in ACL Reconstruction? A Systematic Review and Network Meta-analysis of Randomized Controlled Trials.,483,12,2350-2352,['English'],0075674,0009-921X,1528-1132,['Journal Article'],PubMed - in process,ppublish+epublish,"['40839826', 'PMC12629366', 'pmc-id: PMC12629366;embargo-date: 2026/12/01;', '10.1097/CORR.0000000000003628', '00003086-202512000-00025']",10.1097/CORR.0000000000003628,"['2025/06/30 00:00', '2025/07/07 00:00', '2025/08/21 20:44', '2025/08/21 20:44', '2025/08/21 15:52', '2026/12/01 00:00']",['doi: 10.1097/CORR.0000000000003585'],0,7,Clinical orthopaedics and related research,doi: 10.1097/CORR.0000000000003628,2025 Dec 1;483(12):2350-2352,,2025,Meshram P,Meshram,,1,"Meshram, 2025"
9,40829023,2025 Dec 1,2025 Aug 13,Clin Orthop Relat Res,"['Chen CF', 'Qian SY', 'Li T', 'Yao L', 'Xu Y', 'Wang L', 'Li J']",Li J,Which Graft Is Associated With Better Outcomes in ACL Reconstruction? A Systematic Review and Network Meta-analysis of Randomized Controlled Trials.,483,12,2334-2349,['English'],0075674,0009-921X,1528-1132,"['Journal Article', 'Systematic Review', 'Network Meta-Analysis']",PubMed - indexed for MEDLINE,ppublish+epublish,"['40829023', 'PMC12629372', 'pmc-id: PMC12629372;embargo-date: 2026/12/01;', '10.1097/CORR.0000000000003585', '00003086-202512000-00024']",10.1097/CORR.0000000000003585,"['2025/03/05 00:00', '2025/05/28 00:00', '2025/12/01 18:50', '2025/08/19 18:29', '2025/08/19 15:13', '2026/12/01 00:00']",['doi: 10.1097/CORR.0000000000003628'],1,55,Clinical orthopaedics and related research,doi: 10.1097/CORR.0000000000003585,2025 Dec 1;483(12):2334-2349,"BACKGROUND: In clinical practice, different surgical methods, including autografts, allografts, and artificial ligaments, have been used in reconstruction after ACL injuries. However, the available evidence is conflicting in terms of which approach has yielded better patient-reported outcomes, joint stability, and risk of graft reinjury. A network meta-analysis allows the comparison of approaches that have not been compared head-to-head in individual RCTs. Although several network meta-analyses have been performed on this topic, they are hampered by methodological limitations. QUESTIONS/PURPOSES: We performed an updated network meta-analysis of RCTs to answer the following questions: Considering different grafts applied in ACL reconstruction, which graft is superior in terms of (1) patient-reported outcomes (International Knee Documentation Committee [IKDC] objective score, Lysholm score, and Tegner score), (2) knee stability results (Lachman test, pivot-shift test, and KT-1000/2000 arthrometer side-to-side difference), and (3) risk of graft reinjury? METHODS: We searched the PubMed, Embase, Cochrane Library, and Web of Science databases from January 2000 to November 2024 for completed studies. We reviewed 30,976 papers, and 27 met inclusion criteria, which were as follows: RCTs published in English, RCTs that involved ACL reconstruction with different grafts (autografts, allografts, and artificial ligaments) with fully described surgical techniques, RCTs that reported on at least one of the relevant outcome measures (preoperative and postoperative IKDC objective score, Lysholm score, Tegner score, Lachman test, pivot-shift test, KT-1000/2000 arthrometer side-to-side difference, and risk of graft reinjury), and RCTs that reported a minimum follow-up period of 12 months with at least 80% follow-up completeness. The Cochrane risk-of-bias tool (RoB 2.0) was used to assess the quality of the included studies, with 18 studies judged as being at a low risk of bias and 9 studies assessed as being at an unclear risk of bias. In total, 2572 patients were treated with 16 different types of grafts. The mean length of follow-up was 47 months. The mean age of the included patients was 28 years, and 71% of the patients were male. A Bayesian network meta-analysis was performed via the ""gemtc"" and ""coda"" packages of R Studio, version 4.2.1, and the ""networkplot"" command of Stata 15 software was used to plot network relationships for direct and indirect comparisons between different interventions. The surface under the cumulative ranking curve (SUCRA) was calculated to rank the intervention effects of different interventions. A SUCRA value approaching 1 (100%) indicates a greater probability that the corresponding treatment is superior in terms of efficacy or safety. The most common treatment comparisons were the single-bundle 4-strand semitendinosus with gracilis tendon autograft versus the bone-patellar tendon-bone autograft and the single-bundle 4-strand semitendinosus with gracilis tendon autograft versus the double-bundle 4-strand semitendinosus with gracilis tendon autograft. RESULTS: Although there were no differences when comparing different grafts for traditional pairwise comparisons of patient-reported outcomes, joint stability, and graft reinjury, the network meta-analysis allows ranking of interventions by efficacy or safety through the SUCRA. In terms of patient-reported outcomes, the double-bundle 4-strand semitendinosus with gracilis tendon autograft had the highest ranking for the IKDC objective score (SUCRA 77%), the single-bundle 3-strand semitendinosus tendon autograft was ranked most favorably for the Lysholm score (SUCRA 78%), and the single-bundle 4-strand semitendinosus with gracilis tendon autograft with synthetic artificial ligament had the highest ranking for the Tegner score (SUCRA 90%). Concerning knee stability, the double-bundle 4-strand semitendinosus with gracilis tendon autograft ranked first (SUCRA 58%) on the Lachman test, the single-bundle 5-strand semitendinosus with gracilis tendon autograft ranked first (SUCRA 64%) in terms of the pivot-shift test, and the bone-patellar tendon-bone autograft was ranked most favorably for the KT-1000/2000 arthrometer side-to-side difference (SUCRA 91%). The most effective treatment in terms of graft reinjury was the double-bundle 4-strand semitendinosus with gracilis tendon autograft (SUCRA 70%). Again, a higher SUCRA value (close to 1) represents higher probability of a treatment being ranked among the most effective interventions. CONCLUSION: In ACL reconstruction, based on the results of SUCRA rankings, patients should be counseled that the double-bundle 4-strand semitendinosus with gracilis tendon autograft and the bone-patellar tendon-bone autograft represent potentially superior surgical techniques for simultaneously enhancing patient comfort, restoring knee anterior stability, and having low reinjury risk, and the single-bundle 5-strand semitendinosus with gracilis tendon autograft has the potential advantage in restoring rotational knee stability. To achieve best patient-reported outcomes, the single-bundle 3/4-strand semitendinosus tendon autograft and the single-bundle 4-strand semitendinosus with gracilis tendon autograft with synthetic artificial ligament are also recommended. Further comparisons of different grafts should be performed to determine whether meaningful differences exist between men and women in terms of these surgical outcomes. LEVEL OF EVIDENCE: Level I, therapeutic study.",2025,"Chen CF, Qian SY, Li T, Yao L, Xu Y, Wang L, Li J",Chen,Qian,7,"Chen et al., 2025"
