,id,pmid,source,doi,authors,journal,title,abstract,year,language
0,1,41946489.0,web_of_science,10.1002/arj.70086,"Davey, MS; Hurley, ET; Doyle, TR; Dickens, JF",ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,"Anterior Cruciate Ligament Reconstruction With Hamstring Tendon Versus Quadriceps Tendon Autograft Results in No Significant Differences in Patient-Reported Outcome Measures, Re-Rupture Rates, and Clinical Stability: A Meta-analysis of Level I Randomized Control Trials","Purpose: To perform a systematic review and meta-analysis of Level I randomized controlled trials (RCTs) examining the clinical outcomes of patients who underwent anterior cruciate ligament reconstruction (ACLR), with hamstring tendon (HT) versus quadriceps tendon (QT) autografts. Methods: A literature search was performed according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. Only RCTs of Level I evidence comparing clinical outcomes of ACLR with HT versus QT autografts were included. Descriptive statistics were performed with risk ratios utilized for dichotomous variables and the mean difference (MD) for continuous variables. Statistical significance was set at P-value < .05. Results: There were 6 RCTs including 374 patients (60% males) with a mean age of 26.7 +/- 3.8 years who underwent ACLR with HT (n = 186) or QT (n = 188) autografts. Meta-analysis found there were no significant differences between those who underwent ACLR with either HT or QT autografts with respect to positive pivot-shift testing (risk ratio; 0.42, P = .42) and re-rupture rates (risk ratio; 1.03, P = .96). Similarly, there was no significant difference between the groups for all patient-reported outcome measures, namely International Knee Documentation Committee scores (MD; 0.00, P = .98) and Lysholm scores (MD; -0.21, P = .47) (MD; -0.18, P = .65). However, one study found a significant difference between the HT and QT groups with respect to donor site morbidity scores). Conclusions: Current Level I evidence suggests that there is no significant difference between ACLR with HT or QT autografts in re-rupture rates, clinical evaluation of laxity, or patient-reported outcomes measures in the short-term postoperatively. Although few RCTs reported specifically in relation to donor site morbidity, current literature suggests that QT autograft may potentially result in significantly lower occurrence of donor site morbidity scoring.Level of Evidence Level I, meta-analysis of Level I studies.",2026,English
1,2,41803188.0,web_of_science,10.1038/s41598-026-41576-2,"Abel, R; Niederer, D; Glowa, A; Hansen, N; Wilke, C; Offerhaus, C",SCIENTIFIC REPORTS,Effectiveness of exercise prehabilitation before anterior cruciate ligament reconstruction on functional outcomes - a single-blinded randomized controlled trial,"Objective: To compare the effectiveness of an individually tailored, adaptive, guided, structured and criteria-based preoperative rehabilitation program (IG) to a structured, non-guided, self-administered home training program (CG) in individuals after an anterior cruciate ligament (ACL) rupture. Methods: We enrolled participants 16 to 60 years with a unilateral ACL rupture, scheduled for reconstruction using a hamstring or quadriceps tendon autograft. They were assessor-blinded 1:1 block-randomized to the IG or the CG. Self-reported knee function, assessed using the Knee injury and Osteoarthritis Outcome Score (KOOS), was the primary outcome. Secondary outcomes included functional measures (range of motion, muscle strength, functional limb asymmetries, and hopping ability) as well as self-reported psychological readiness to return to sport. Parameters were assessed at up to seven time points: anamnesis in the hospital, 1 to 7 days before the surgery, on the day of surgery, 30, 60, 90, and 180 days post-surgery. Intention-to-treat based linear mixed models were calculated using the change scores since anamnesis. Results: Of 114 enrolled participants (mean age = 31.03, SD = 10.30 years; 53% females), 58 participants discontinued intervention or dropped out. The IG (KOOS score anamnesis: 46.04, 95% confidence interval = [45.07 to 47.02]; pre-reconstruction: 58.52, [57.51 to 59.54]) demonstrated a more pronounced preoperative improvement in the KOOS score compared to the CG (51.01, [50.10 to 51.92]; 59.18, [58.40 to 59.96]). The interaction (group*time) of the KOOS sum score differed for the change score to the surgery day (p = 0.039) and to 60 days postoperative (p = 0.039). Conclusion: The individually tailored preoperative rehabilitation program may improve perceived knee function more than self-guided training. Caution and future research are needed as the effects were small.",2026,English
2,3,41758993.0,web_of_science,10.1002/ksa.70354,"Boer, BC; Brouwer, RW; Heuvel, JO; de Vries, AJ; van der Wal, WA; Rompen, JC; van Houten, AH; Hoogeslag, RAG",KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,Quadriceps tendon autograft is not inferior to bone-patellar tendon-bone or hamstring autograft in anterior cruciate ligament reconstruction in terms of subjective patient-reported outcomes: Two-year results of a multicenter randomised controlled study,"Purpose: To evaluate the effectiveness of quadriceps tendon (QT) compared to bone-patellar tendon-bone (BPTB) and hamstring tendon (HT) autografts in anterior cruciate ligament reconstruction (ACLR) regarding patient-reported outcomes 2 years postoperatively. Methods: Patients undergoing primary isolated ACLR were stratified and randomised to receive a QT, BPTB or HT autograft. The primary outcome was the International Knee Documentation Committee (IKDC) subjective score analysed to assess non-inferiority at 2-year follow-up. Secondary outcomes included Knee Injury and Osteoarthritis Outcome Score, Anterior Cruciate Ligament Quality of Life, Lysholm, Tegner, pain and satisfaction scores, IKDC physical examination score, limb symmetry indices, radiographic osteoarthritis and adverse events including failure. Results: One hundred and thirty-six patients were analysed at 2-year follow-up (50 QT, 42 BPTB, 44 HT); 68%, 62% and 64% were male, with mean ages of 26.4, 25.9 and 25.8 years, respectively. The lower limit of the 95% confidence interval (CI) for the IKDC subjective score for the QT group (95% CI 85.4-91.5) fell within the prespecified noninferiority margin (-10). No statistical between-group differences were found for mean IKDC subjective scores (QT, 88.4 +/- 8.6; BPTB, 85.5 +/- 12.9; HT, 89.2 +/- 12.1). All groups showed significant improvement in patient-reported outcomes over time (p < 0.001), with no significant between-group differences. The HT group demonstrated superior quadriceps strength and triple hop performance at 6 months (all p <= 0.035), which resolved by 1 year. Four clinical failures occurred in the QT group (8.0%), five in the BPTB group (11.9%) and two in the HT group (4.6%) (n.s.). Conclusion: QT autograft is non-inferior to BPTB or HT autograft in isolated ACLR in terms of patient-reported outcomes as measured with the IKDC subjective score two years postoperatively. QT autograft represents a viable option for ACLR.",2026,English
3,4,41733021.0,web_of_science,10.1177/03635465261415842,"Petit, CB; Hussain, ZB; Read, PJ; Mcpherson, AL; Pradip, K; Petushek, EJ; White, MS; Xerogeanes, JW; Lamplot, JD; Myer, GD; Montalvo, AM",AMERICAN JOURNAL OF SPORTS MEDICINE,"Graft Failure Rates in Bone-Patellar Tendon-Bone, Hamstring, and Quadriceps Tendon Autografts in Patients Younger Than 25 Years: A Meta-analysis","Background: Anterior cruciate ligament reconstruction (ACLR) is being increasingly performed in part because of higher injury rates among young athletes (<= 25 years). High allograft failure rates support the use of autograft for ACLR in young patients. However, data examining the failure rates of the different autografts used in this population are lacking.Purpose: The purpose of this study was to compare graft failure rates among bone-patellar tendon-bone (BPTB), hamstring tendon (HT), and quadriceps tendon (QT) autografts in patients <= 25 years old. The secondary aim was to stratify graft failure by potential modifiers, including sex, mean follow-up, time to graft rupture, and concomitant meniscal surgery.Study Design: Systematic review and meta-analysis; Level of evidence, 4.Methods: Studies were included that reported anterior cruciate ligament graft (BPTB, HT, QT) reinjury rates in patients <= 25 years old with a minimum 24 months of follow-up. Studies were excluded if they examined revision ACLR, allograft ACLR, allograft augmentation ACLR, or concomitant lateral extra-articular tenodesis or if they failed to report reinjury rates by graft type and young age (<= 25 years).Results: This review included 46 studies comprising 10,624 patients (HT: n = 6090, 47.0% female, 54.5-month mean follow-up; BPTB: n = 3990, 63.0% female, 63.6-month mean follow-up; QT: n = 544, 40.3% female, 41.6-month mean follow-up). HT exhibited the highest failure rate at 11.1% (95% CI, 8.8%-13.9%). Failure rates for BPTB and QT were 5.1% (95% CI, 3.5%-7.2%) and 2.5% (95% CI, 0.5%-11.2%), respectively. HT had a significantly higher failure rate than BPTB (Q = 13.1; P < .001). There were no significant differences in failure rates between HT and QT (Q = 3.7; P = .06) or between BPTB and QT (Q = 0.8; P = .4). Males and females had a similar risk of graft failure regardless of graft type.Conclusion: The results of this meta-analysis suggest that HT grafts are not the optimal choice for young patients undergoing ACLR. Instead, these patients should consider BPTB to reduce the risk of graft failure. Further research including randomized controlled trials with larger sample sizes are required to determine how QT grafts compare with BPTB grafts in this population.",2026,English
4,5,41717284.0,web_of_science,10.1002/jeo2.70665,"Heinz, M; Lettner, J; Topkarci, YB; Królikowska, A; Ramadanov, N; Ostojic, M; Becker, R; Prill, R",JOURNAL OF EXPERIMENTAL ORTHOPAEDICS,Hamstring autografts favour knee extension strength recovery while quadriceps autografts optimise flexion strength recovery: A systematic review of randomised controlled trials,"Purpose Quadriceps tendon (QT), hamstring tendon (HT) and patellar tendon (PT) autografts are the most common grafts for anterior cruciate ligament reconstruction (ACLR). However, the specific impact of graft selection on postoperative knee extension and flexion strength remains controversial. This systematic review analysed randomised controlled trials (RCTs) comparing isokinetic muscle strength outcomes following primary ACLR using QT, HT or PT autografts.Methods A systematic review was conducted by searching Medline (PubMed), Epistemonikos and ScienceDirect (January 2014-10 May 2025) to identify RCTs that included patients aged >= 16 years undergoing primary, unilateral ACLR using an ipsilateral QT, HT or PT autograft. Studies had to report isokinetic strength outcomes at predefined postoperative intervals (approximately 3, 6, 12 and/or >= 24 months) and at one or more angular velocities. The PRISMA guidelines were followed for literature analysis. Two reviewers independently screened, extracted and appraised data using the JBI Checklist for RCTs. A narrative synthesis was performed due to significant clinical and methodological heterogeneity among the included studies.Results Of 1509 records screened, 13 RCTs met the criteria, encompassing 5 studies using QT, 13 HT and 4 PT. The synthesis revealed distinct recovery patterns: HT autografts showed more favourable recovery of knee extension strength, particularly between 6 and 12 months postoperatively. Conversely, QT autografts consistently resulted in superior recovery of knee flexor strength across all follow-up periods. The results for PT autografts were heterogeneous, showing some short-term advantages but no consistent superiority. Patient-reported outcomes (PROMs) generally improved in all groups, though patterns varied by instrument and time point.Conclusion Current evidence indicates graft-specific profiles of strength recovery after ACLR, with HT autografts favouring knee extension and QT autografts favouring knee flexion recovery. However, heterogeneity in testing protocols, angular velocities and the reporting of limb symmetry indices limits the strength of these conclusions.Level of Evidence Level I.",2026,English
5,6,41562143.0,web_of_science,10.1002/ksa.70275,"Vendrig, T; Keizer, MNJ; Brouwer, RW; Houdijk, H; Hoogeslag, RAG",KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,Similar dynamic tibiofemoral movements during jump-landing and walking but distinct hamstrings strength across ACL reconstruction autograft types at mid-term follow-up,"Purpose: Dynamic tibiofemoral movements following anterior cruciate ligament reconstruction (ACLR) with quadriceps tendon (QT) autografts have not yet been compared to other autografts. We aimed to compare dynamic anterior tibial translation (ATTd) and internal tibial rotation (ITRd) during jump-landing and walking among patients with QT, bone-patellar tendon-bone (BPTB) and hamstrings tendon (HT) autografts at mid-term follow-up. The secondary aim was to compare lower extremity strength among autografts. Methods: Patients were included from a previous randomized controlled trial (randomly received primary ACLR with a QT, BPTB or HT autograft), and were prospectively assessed for additional analyses. Primary outcome measures were side-to-side differences in ATTd and ITRd during the side hop, single-leg hop for distance, triple hop for distance, double-leg drop-jump and walking, measured using 3D optoelectronic motion capture, and statistically analyzed using statistical parametric mapping. Moreover, isometric hamstrings and quadriceps strength limb symmetry index (LSI) were assessed using a dynamometer. Results: Thirty patients were included at 4.7 +/- 1.8 years (range: 1.4-7.2) post-ACLR (n = 10 per autograft; age: 31.0 +/- 4.8 years). No significant between-group differences were observed for side-to-side difference in ATTd and ITRd during all dynamic tasks (p > 0.05). QT and BPTB autograft groups demonstrated greater isometric hamstrings strength LSI (QT = 98.4% vs. BPTB = 99.3% vs. HT = 79.0%; p = 0.02) and greater hamstrings/quadriceps strength ratio LSI (QT = 102.0% vs. BPTB = 104.6% vs. HT = 79.6%; p = 0.01) compared to the HT autograft, but quadriceps strength was similar among autografts. Conclusions: Patients who underwent ACLR with QT autografts demonstrated similar side-to-side differences in ATTd and ITRd compared to patients with BPTB and HT autografts 5 years post-ACLR, without demonstrating graft-harvest-related strength deficits, whereas patients with HT autografts showed persistent hamstrings weakness. Graft selection should consider persistent hamstrings strength deficits in patients with HT autografts, while ATTd and ITRd are not autograft-dependent. These findings support QT autografts as a viable option for ACLR.",2026,English
6,7,41522461.0,web_of_science,10.1177/23259671251401596,"Johns, WL; Voskeridjian, A; Miltenberg, B; Muchintala, R; Dodson, CC; Cohen, SB; Salvo, J; Sherman, M; Ciccotti, MG; Hammoud, S",ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,"Regional Anesthesia Utilizing Liposomal Bupivacaine, With or Without Dexamethasone, Provides Excellent Pain Control and Minimizes Opioid Consumption Following Anterior Cruciate Ligament Reconstruction","Background: Perioperative nerve blocks are commonly used for regional analgesia with anterior cruciate ligament (ACL) reconstruction (ACLR). Liposomal bupivacaine (LB) is a long-acting anesthetic agent providing up to 72 hours of nerve blockade. It is theorized that the addition of dexamethasone to LB (LB+dex) may prolong the analgesic duration. Purpose: To characterize pain control and opioid consumption with adductor canal block (ACB), interspace between the popliteal artery and capsule of the posterior knee (iPACK), and suprasartorial infiltration (SSI) regional anesthetic techniques utilizing LB after ACLR and to compare LB versus LB+dex. Study Design: Randomized controlled trial; Level of evidence, 1. Methods: Patients undergoing primary ACLR using bone-patellar tendon-bone or quadriceps tendon autograft were included. All patients received an ACB, iPACK, and SSI preoperatively. Patients were randomized to receive either LB or LB+dex for their anesthetic agent. Opioid consumption, visual analog scale (VAS) scores, pain control satisfaction, and duration of block effect were recorded postoperatively. Results: A total of 131 patients were included in the analysis. The mean opioid consumption for all patients was 1.20 +/- 2.42 five-mg oxycodone tablets (8.97 +/- 18.12 morphine milliequivalents [MME]). We did not observe a significant difference in oxycodone consumption between cohorts during the study period (1.42 +/- 2.92 vs 0.97 +/- 1.91; 10.65 +/- 21.90 MME vs 7.28 +/- 14.33 MME; P = .76). An estimated 95.2% of opioids prescribed went unused and 77.1% (101/131) of patients consumed no opioids. There was no significant difference in VAS score, patient satisfaction, or duration of block effect between cohorts. Conclusion: A single shot of LB with or without dexamethasone via ACB, SSI, and iPACK block provided excellent pain control and minimized opioid consumption after autograft ACLR. Nearly 80% of patients did not require opioids postoperatively, making opioid-free ACLR a realistic possibility for many patients. When narcotics were required, the dose of opioids was minimal; patients required 1.2 tablets of oxycodone on average, and >95% of the opioids prescribed went unused. Despite previous reports suggesting a prolonged duration of anesthetic effect when LB is combined with dexamethasone, we found no difference in opioid consumption, VAS score, patient satisfaction, or duration of block effect when patients received dexamethasone with their regional block. The utilization of regional anesthetic techniques such as ACB, SSI, and iPACK blocks in conjunction with LB-based anesthetics could allow providers to curtail or potentially eliminate opioid prescriptions after ACL surgery.",2026,English
7,8,41327264.0,web_of_science,10.1186/s13018-025-06534-0,"Ayeni, OR",JOURNAL OF ORTHOPAEDIC SURGERY AND RESEARCH,Soft-tissue quadriceps tendon autograft during primary anterior cruciate ligament reconstruction in Skeletally-immature patients vs. Hamstrings: A protocol for a multi-centre randomized controlled trial,"BackgroundACL tears in skeletally-immature patients are often treated surgically using soft-tissue autografts to offset increased risks of cartilage, meniscus and physeal injuries. Despite technological innovation, there remains a high failure rate among active young patients. We present a randomized controlled trial (RCT) to evaluate the soft-tissue quadriceps autograft compared to the standard hamstring autograft to treat primary ACL tears in the pediatric population.MethodsThis international RCT will evaluate 352 skeletally-immature patients between the ages of 10-18 years undergoing primary ACL reconstruction to compare the effect of hamstring versus soft-tissue quadriceps autografts on ACL failure rate as a primary outcome, and return to sport, knee function, knee pain, health-related quality of life and health utility, range of motion and stability, and other adverse events at 24 months as secondary outcomes. Follow-up will occur at 6 weeks and 6, 12, 18, and 24 months postoperatively.DiscussionThis trial will inform the optimal primary surgical management for ACL injuries as it pertains to all soft-tissue graft selection, to not only reduce the relatively high failure rates, but also improve the function and return-to-sports in this young, active population.Trial registrationThis trial was registered on ClinicalTrials.gov (NCT03896464) on March 27th, 2019.",2025,English
8,9,40505703.0,web_of_science,10.1016/j.arthro.2025.06.001,"van der Wal, WA; van der List, JP",ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,Editorial Commentary: The Anterolateral Ligament Is Only Part of the Puzzle of Anterolateral Corner Injury in Anterior Cruciate Ligament Disruption and Reconstruction,"Over the past decade, there has been an increased awareness of the role of the anterolateral corner (ALC) in the setting of anterior cruciate ligament (ACL) injury and ACL reconstruction. Although several studies have debated the existence, exact anatomy, and function of the ALC, the role in clinical practice is well recognized. Biomechanical studies have assessed the role of the anterolateral ligament (ALL), superficial and deep Kaplan fiber layers of the iliotibial band, the anterolateral capsule with the ALL, and the capsulo-osseous layer within the ALC. Furthermore, both biomechanical and clinical studies support the role of either ALL reconstruction or lateral extra-articular tenodesis, such as the modified Lemaire or Arnold-Coker modification of the McIntosh technique in the setting of ACL reconstruction. Not only have many randomized controlled trials shown decreased failure or rerupture rates with adding these procedures, but they also show minimal complication rates, equivalent to superior patient-reported outcome measures and decreased presence of persisting rotatory instability or positive pivot shift. These developments have caused a major shift in the treatment of young patients with ACL injuries, especially those who have ligamentous laxity, hyperextension, involvement in pivoting sports, or contralateral injuries. The next steps should focus on which patients require ALC procedures, the role of ALC procedures with hamstring versus quadriceps or bone-patellar tendon-bone autograft, and the development of posttraumatic osteoarthritis.",2025,English
9,10,40147599.0,web_of_science,10.1016/j.arthro.2025.03.036,"Emmert, AS; Hale, I; Lake, LP; Mcmillan, P; Johnson, BM; Kurkowski, SC; Kuechly, HA; Grawe, BM",ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,"Varying Definitions of Return to Sport, Study Quality, and Outcome Measurements Limit Comparison of Primary Anterior Cruciate Ligament Reconstruction With Quadriceps Tendon Autografts to Hamstring and Bone-Patellar Tendon-Bone Autografts: A Systematic Review","Purpose: To systematically review the existing literature on return-to-sport (RTS) outcomes for quadricep tendon (QT) autografts compared to hamstring tendon (HT) and/or bone-patellar tendon-bone (BPTB) autografts for primary anterior cruciate ligament reconstruction (ACLR). Methods: PubMed/Medline, Scopus, Embase, and Cochrane Library databases were queried for studies comparing RTS data for ACLR with QT autografts versus HT and/or BPTB autografts in accordance with Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. Inclusion criteria were randomized and nonrandomized prospective or retrospective studies evaluating primary ACLR containing RTS data for QT autograft and at least 1 other graft type. Exclusion criteria included patients <18 years of age, patients undergoing revision ACLR, cadaveric/animal studies, and studies lacking graft outcome data. Included studies were analyzed for methodologic data, RTS data, quality, and risk of bias. Results: Ten articles (2 randomized controlled trials, 3 prospective studies, and 5 retrospective studies) comprising 1,006 reconstructions with a level of evidence of II to III and average follow-up of 8 to 120 months were included. Nonrandomized studies most frequently possessed a Methodological Index for Non Randomized Studies quality rating of ""moderate,"" while half of the randomized studies had a Risk of Bias 2.0 rating of ""some concern of bias."" Four subjective definitions of RTS were identified: (1) return to preinjury activity level based on the Tegner activity scale, (2) return to play, (3) return to level I/II (cutting) sports, and (4) return to preinjury sports. RTS and mean time to RTS rates ranged from 16% to 100% and 8.4 to 11.1 months for QT autografts, 32% to 100% and 8.8 months for HT autografts, and 64% to 85% and 8.1 months for BPTB autografts. Conclusions: Primary ACLR with QT autografts shows similar overall RTS rates and mean time to RTS as HT and BPTB autografts. However, insufficient quality and quantity of studies investigating RTS outcomes for QT autografts underscore the unreliability of the current literature and need for high-quality, prospective studies. Level of Evidence: Level III, systematic review of Level II and III studies.",2025,English
