,id,pmid,source,doi,authors,journal,title,abstract,year,language
0,1,PUBMED 32850031,Cochrane,10.1007/s43465-020-00073-y,"Gupta, R; Kapoor, A; Soni, A; Khatri, S; Masih, GD; Raghav, M",Cochrane,"No Difference in Outcome of Anterior Cruciate Ligament Reconstruction with ""Bone-patellar Tendon-bone versus Semitendinosus-gracilis Graft with Preserved Insertion"": a Randomized Clinical Trial","BACKGROUND: The type of graft for anterior cruciate ligament (ACL) reconstruction is still a topic of debate and there is still no clear consensus on the ideal graft for ACL reconstruction. PURPOSE: This study was conducted to compare the outcome of ACL reconstruction surgery between hamstring tendon graft and bone‐patellar tendon‐bone (BPTB) graft. MATERIALS AND METHODS: One hundred and sixty professional athletes were enrolled in the study. They were divided into two groups by computerized randomization. In Group I, ACL reconstruction was done using BPTB graft, and in Group II, ACL reconstruction was done using semitendinosus gracilis graft with preserved tibial insertion (STGPI). Postoperatively, patients were assessed for knee stability, Lysholm score, and WOMAC score. RESULTS: Mean KT‐1000 side‐to‐side difference at 1 year was 2.31 ± 1.68 mm in BPTB cohort and 2.52 ± 1.6 mm in STGPI cohort (P = 0.4); and at 2 years, it was 1.98 ± 1.62 mm in BPTB cohort and 2.23 ± 1.6 mm in STGPI cohort (P = 0.4). Mean Lysholm score at 2 years was 96.1 ± 5.81 in STGPI cohort and 97.3 ± 4.62 in BPTB cohort (P = 0.15). Mean WOMAC score at 2 years was 3.3 ± 2.76 in STGPI cohort and 2.84 ± 2.21 in BPTB cohort (P = 0.25). Graft rupture rate was 3.75%; 3 patients in each group had graft rupture. Kneeling pain was present in 15% (12/80) of patients with BPTB graft whereas none of the patients in STGPI cohort had kneeling pain. CONCLUSION: There was no difference between two grafts in term of knee stability, visual analog scale score and functional outcome. However, hamstring tendon graft is associated with less donor site morbidity.",2020,English
1,2,PUBMED 23203337,Cochrane,10.1007/s00167-012-2309-7,"Indelicato, PA; Ciccotti, MG; Boyd, J; Higgins, LD; Shaffer, BS; Vangsness, CT",Cochrane,Aseptically processed and chemically sterilized BTB allografts for anterior cruciate ligament reconstruction: a prospective randomized study,"PURPOSE: To compare the clinical outcomes of bone‐patellar tendon‐bone (BTB) allografts processed via a novel sterilization system with the traditional aseptically processed BTB allografts for anterior cruciate ligament (ACL) reconstruction. METHODS: A total of 67 patients undergoing ACL reconstruction at 6 independent investigation sites were randomized into one of two intervention groups, BioCleanse‐sterilized or aseptic BTB allografts. Inclusion criteria included an acute, isolated, unilateral ACL tear, and exclusion criteria included prior ACL injury, multi‐ligament reconstruction, and signs of degenerative joint disease. Post‐op examiners and patients were blinded to graft type. Patients were evaluated at 6, 12, and 24 months. Clinical outcomes were compared using the IKDC, a KT‐1000 knee arthrometer, level of effusion, and ranges of motion (ROM). RESULTS: After randomization, 24 patients received aseptic BTB allografts and 43 patients received BioCleanse‐sterilized allografts. Significant improvement in IKDC scores (P < 0.0001) as well as KT‐1000 results (P < 0.0001) was noted over the 24‐month period for both groups. IKDC or KT‐1000 results were not significantly different between groups at any time point. Active flexion ROM significantly improved from pre‐op to 24‐month follow‐up (P < 0.0001) with no difference between groups at any time point. Active extension ROM did not differ significantly between the two groups. CONCLUSIONS: These results indicate that the sterilization process, BioCleanse, did not demonstrate a statistical difference in clinical outcomes for the BTB allograft at 2 years. The BioCleanse process may provide surgeons with allografts clinically similar to aseptically processed allograft tissue with the benefit of addressing donor‐to‐recipient disease. LEVEL OF EVIDENCE: II.",2013,English
2,3,PUBMED 7661269,Cochrane,10.1177/036354659502300321,"Rubinstein, RA; Shelbourne, KD; VanMeter, CD; McCarroll, JR; Rettig, AC; Gloyeske, RL",Cochrane,Effect on knee stability if full hyperextension is restored immediately after autogenous bone-patellar tendon-bone anterior cruciate ligament reconstruction,"We sought to determine if knee stability after autogenous bone‐patellar tendon‐bone anterior cruciate ligament reconstruction was adversely affected by obtaining immediate full hyperextension. We selected patients based on degree of knee hyperextension. Group 1 (46 men and 51 women), with an average of 10 degrees (range, 8 degrees to 15 degrees) hyperextension, was compared with the randomly selected control Group 2 (70 men and 27 women), which had an average of 2 degrees (range, 0 degrees to 5 degrees) hyperextension. The operative knee in both groups, which underwent similar reconstruction of the injured knee, achieved full passive extension equal to the non‐involved knee during the immediate postoperative course. The average KT‐1000 arthrometer manual maximum side‐to‐side differences were 2.4 mm for Group 1 and 2.1 mm for Group 2 (P = 0.13). Seventy‐nine patients in Group 1 had KT‐1000 arthrometer differences of < or = 3 mm as compared with 85 patients in Group 2. Fourteen patients in Group 1 had KT‐1000 arthrometer differences of 4 or 5 mm as compared with eight patients in Group 2. Four patients in each group had KT‐1000 arthrometer differences > 5 mm. Evidence suggests that restoring and maintaining immediate full knee hyperextension after this type of reconstruction does not adversely affect the ultimate stability of the knee.",1995,English
3,4,PUBMED 16603564,Cochrane,10.1136/bmj.38784.384109.2F,"Biau, DJ; Tournoux, C; Katsahian, S; Schranz, PJ; Nizard, RS",Cochrane,Bone-patellar tendon-bone autografts versus hamstring autografts for reconstruction of anterior cruciate ligament: meta-analysis,"Objectives: To compare bone‐patellar tendon‐bone autografts with hamstring autografts for reconstruction of the anterior cruciate ligament. Data sources: Medline, WebSPIRS, Science Citation Index, Current Contents databases, and Cochrane Central Register of Controlled Trials. Review methods: All randomised controlled trials reporting one or more outcome related to stability (instrumented measurement of knee laxity, Lachman test, or pivot shift test) and morbidity (anterior knee pain, kneeling test, loss of extension, or graft failure). Study quality was assessed by using a 5 point scale. Random effect models were used to pool the data. Heterogeneity in the effect of treatment was tested on the basis of study quality, randomisation status, and number of tendon strands used. Results: 24 trials of 18 cohorts (1512 patients) met the inclusion criteria. Study quality was poor for nine studies and fair for nine studies. The weighted mean difference of the instrumented measurement of knee laxity was 0.36 (95% confidence interval 0.01 to 0.71; P = 0.04). Relative risk of a positive Lachman test was 1.22 (1.01 to 1.47; P = 0.04), of anterior knee pain 0.57 (0.44 to 0.74; P < 0.0001), of a positive kneeling test 0.26 (0.14 to 0.48; P < 0.0001), and of loss of extension 0.52 (0.34 to 0.80; P = 0.003). Other results were not significant. Conclusion: Morbidity was lower for hamstring autografts than for patellar tendon autografts. Evidence that patellar tendon autografts offer better stability was weak. The poor quality of the studies calls into question the robustness of the analyses.",2006,English
4,5,PUBMED 33945339,Cochrane,10.1177/03635465211010798,"Marmura, H; Getgood, AMJ; Spindler, KP; Kattan, MW; Briskin, I; Bryant, DM",Cochrane,Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction,"BACKGROUND: Anterior cruciate ligament reconstructions (ACLRs) fail at an alarmingly high rate in young active individuals. The Multicenter Orthopaedic Outcomes Network (MOON) knee group has developed an autograft risk calculator that uses patient characteristics and lifestyle to predict the probability of graft rupture if the surgeon uses a hamstring tendon (HT) or a bone‐patellar tendon‐bone (BPTB) graft to reconstruct the ligament. If validated, this risk calculator can be used during the shared decision‐making process to make optimal ACLR autograft choices and reduce rupture rates. The STABILITY 1 randomized clinical trial offers a large, rigorously collected data set of similar young active patients who received HT autograft with or without lateral extra‐articular tenodesis (LET) for ACLR. PURPOSE/HYPOTHESIS: The purpose was to validate the ACLR graft rupture risk calculator in a large external data set and to investigate the utility of BPTB and LET for ACLR. We hypothesized that the risk calculator would maintain adequate discriminative ability and calibration in the external STABILITY 1 data set when compared with the initial MOON development data set. STUDY DESIGN: Cohort study (diagnosis); Level of evidence, 1. METHODS: The model predictors for the risk calculator include age, sex, body mass index, sport played at the time of injury, Marx Activity Score, preoperative knee laxity, and graft type. The STABILITY 1 trial data set was used for external validation. Discriminative ability, calibration, and diagnostic test validity of the model were assessed. Finally, predictor strength in the initial and validation samples was compared. RESULTS: The model showed acceptable discriminative ability (area under the curve = 0.73), calibration (Brier score = 0.07), and specificity (85.3%) to detect patients who will experience a graft rupture. Age, high‐grade preoperative knee laxity, and graft type were significant predictors of graft rupture in young active patients. BPTB and the addition of LET to HT were protective against graft rupture versus HT autograft alone. CONCLUSION: The MOON risk calculator is a valid predictor of ACLR graft rupture and is appropriate for clinical practice. This study provides evidence supporting the idea that isolated HT autografts should be avoided for young active patients undergoing ACLR. REGISTRATION: NCT00463099 (MOON); NCT02018354 (STABILITY 1) (ClinicalTrials.gov identifiers).",2021,English
5,6,,Cochrane,10.1016/j.apunsm.2025.100507,"Elazab, AMA; Reda, W; Soliman, AEME; Gad, AM",Cochrane,Clinical and functional comparison of bone–patellar tendon–bone and hamstring tendon autografts in anterior cruciate ligament reconstruction: a randomized controlled trial,"The purpose of this study was to compare the clinical and functional outcomes of anterior cruciate ligament reconstruction (ACLR) using hamstring tendon (HT) and bone–patellar tendon–bone (BTB) autografts through a prospective randomized trial. Thirty‐eight patients with isolated ACL injuries were randomized to undergo ACLR using either HT (n = 19) or BTB (n = 19) autografts. All procedures were performed using an anatomic single‐bundle arthroscopic technique. Patients were evaluated preoperatively and at 12 months postoperatively using the IKDC score, Rolimeter testing, Lachman and pivot shift tests, hop test, and range of motion. Both groups showed significant improvement in all parameters. The mean IKDC score was 82.6 ± 6.3 in the HT group and 83.2 ± 5.9 in the BTB group. No significant differences were found in knee stability, hop test results, or return‐to‐sport rates. No complications or graft failures occurred. ACLR using either autograft type yielded comparable outcomes. Graft choice should be individualized based on patient characteristics and surgeon preference.",2025,English
6,7,PUBMED 15650664,Cochrane,10.1016/j.arthro.2004.09.014,"Laxdal, G; Kartus, J; Hansson, L; Heidvall, M; Ejerhed, L; Karlsson, J",Cochrane,A prospective randomized comparison of bone-patellar tendon-bone and hamstring grafts for anterior cruciate ligament reconstruction,"PURPOSE: The aim of this study was to compare the results after arthroscopic anterior cruciate ligament (ACL) reconstruction using central‐third, bone‐patellar tendon‐bone (BPTB group), 3‐strand semitendinosus (ST group), or 4‐strand semitendinosus/gracilis (ST/G group) autografts. TYPE OF STUDY: Prospective randomized trial. METHODS: A randomized series of 134 patients, all with unilateral ACL rupture was included in the study. In all 3 groups, interference screw fixation of the graft was used at both ends and 125 of 134 (93%) of the patients returned for the follow‐up examination after 26 months (range, 20 to 43 months). The preoperative assessments in all 3 groups were similar in terms of gender, Tegner activity level, Lysholm score, KT‐1000 measurements, 1‐leg hop test, and the knee‐walking test. RESULTS: At follow‐up, the knee‐walking test was significantly worse in the BPTB group than in the ST group (P = .0004) and ST/G group (P < .0001). Furthermore, the knee‐walking test was significantly worse at follow‐up than preoperatively in the BPTB group (P < .0001). The corresponding findings were not made in the other 2 groups. A significant reduction in knee laxity and an increase in activity level compared with the preoperative assessments were found in all 3 groups, without any significant differences between the groups. CONCLUSIONS: Two years after ACL reconstruction, the use of ST and ST/G autografts rendered significantly less discomfort during the knee‐walking test than the use of BPTB autografts. However, in terms of functional outcome and knee laxity, the groups displayed no significant differences. LEVEL OF EVIDENCE: Level I.",2005,English
7,8,PUBMED 27802924,Cochrane,10.1016/j.knee.2016.06.015,"Niu, Y; Niu, C; Wang, X; Liu, J; Cao, P; Wang, F; Niu, J",Cochrane,Improved ACL reconstruction outcome using double-layer BPTB allograft compared to that using four-strand hamstring tendon allograft,"BACKGROUND: This study compared the clinical outcomes of anterior cruciate ligament reconstruction using double‐layer bone‐patellar tendon‐bone (DBPTB) allografts and four‐strand hamstring (4SHS) grafts. METHODS: This prospective randomized controlled trial included 101 patients. Of these, 50 patients received DBPTB allografts, and 51 received 4SHS grafts. Evaluations included KT‐1000 arthrometer measurements, Lachman tests, pivot‐shift tests, the International Knee Documentation Committee (IKDC) classification and Lysholm scores at three year postoperative follow‐up. RESULTS: Two DBPTB patients (four percent) and nine 4SHS patients (17.6%) had graft failures, which was significantly different (P=0.028). The DBPTB group had significantly better Lachman test, IKDC knee score and Lysholm score results than the 4SHS group (P<0.05). However, these differences were below the threshold for clinical significance. CONCLUSIONS: DBPTB allografts had fewer graft failures at three years than 4SHS grafts for anterior cruciate ligament reconstruction; and there were statistically significant differences but not clinically significant differences between DBPTB and 4SHS grafts in terms of the KT1000 test, IKDC and Lysholm scores.",2016,English
8,9,PUBMED 31962350,Cochrane,10.1055/s-0039-3402046,"DeFroda, SF; Karamchedu, NP; Budacki, R; Wiley, T; Fadale, PD; Hulstyn, MJ; Shalvoy, RM; Badger, GJ; Fleming, BC; Owens, BD",Cochrane,Evaluation of Graft Tensioning Effects in Anterior Cruciate Ligament Reconstruction between Hamstring and Bone-Patellar Tendon Bone Autografts,"This article investigates the clinical, functional, and radiographic outcomes in anterior cruciate ligament (ACL) reconstruction patients over 7 years to determine the effects of initial graft tension on outcomes when using patellar tendon (bone‐tendon‐bone [BTB]) and hamstring tendon (HS) autografts. Ninety patients, reconstructed with BTB or HS, were randomized using two initial graft tension protocols: (1) normal anteroposterior (AP) laxity (""low‐tension""; n = 46) and (2) AP laxity overconstrained by 2 mm (""high‐tension""; n = 44). Seventy‐two patients had data available at 7 years, with 9 excluded for graft failure. Outcomes included the Knee Injury and Osteoarthritis Outcome Score, Short‐Form‐36 (SF‐36), and Tegner activity scale. Clinical outcomes included KT‐1000S and International Knee Documentation Committee examination score; and functional outcomes included 1‐leg hop distance and peak knee extensor torque. Imaging outcomes included medial joint space width, Osteoarthritis Research Society International radiographic score, and Whole‐Organ Magnetic Resonance Score. There were significantly improved outcomes in the high‐tension compared with the low‐tension HS group for SF‐36 subset scores for bodily pain (p = 0.012), social functioning (p = 0.004), and mental health (p = 0.014) 84 months postsurgery. No significant differences in any outcome were found within the BTB groups. Tegner activity scores were also significantly higher for the high‐tension HS group compared with the low‐tension (6.0 vs. 3.8, p = 0.016). Patients with HS autografts placed in high tension had better outcomes relative to low tension for Tegner activity score and SF‐36 subset scores for bodily pain, social functioning, and mental health. For this reason, we recommend that graft fixation be performed with the knee at 30‐degree flexion (""high‐tension"" condition) when reconstructing the ACL with HS autograft.",2021,English
9,10,PUBMED 17431619,Cochrane,10.1007/s00264-007-0341-x,"Sajovic, M; Strahovnik, A; Komadina, R; Dernovsek, MZ",Cochrane,The effect of graft choice on functional outcome in anterior cruciate ligament reconstruction,"A prospective, randomised, 5‐year follow‐up study was designed to compare the functional results between patellar tendon and hamstring tendon autografts after anterior cruciate ligament reconstruction. Primary reconstruction was performed in 32 patients using the central third of the patellar ligament and in 32 patients using double‐looped semitendinosus and gracilis tendons. All reconstructions were performed by a single surgeon, with identical surgical technique and rehabilitation protocol. Of the total 64 patients in the study, 54 (85%) were available for the 5‐year follow‐up. No statistically significant differences were seen with respect to Lysholm score, International Knee Documentation Committee (IKDC) classification, clinical and KT‐2000 arthrometer laxity testing, single‐legged hop test and anterior knee pain. Graft rupture occurred in two patients (8%) in the patellar tendon group and in two patients (7%) in the hamstring tendon group; 23 patients (88%) in the patellar tendon group and 23 patients (82%) in the hamstring tendon group returned to their pre‐injury activity level. Good subjective outcome and stability can be obtained by using either graft; no statistically significant differences were found in functional outcome between the grafts.",2008,English
