,id,pmid,source,doi,authors,journal,title,abstract,year,language
0,1,PUBMED 32850031,Cochrane,10.1007/s43465-020-00073-y,"Gupta, R; Kapoor, A; Soni, A; Khatri, S; Masih, GD; Raghav, M",Cochrane,"No Difference in Outcome of Anterior Cruciate Ligament Reconstruction with ""Bone-patellar Tendon-bone versus Semitendinosus-gracilis Graft with Preserved Insertion"": a Randomized Clinical Trial","BACKGROUND: The type of graft for anterior cruciate ligament (ACL) reconstruction is still a topic of debate and there is still no clear consensus on the ideal graft for ACL reconstruction. PURPOSE: This study was conducted to compare the outcome of ACL reconstruction surgery between hamstring tendon graft and bone‐patellar tendon‐bone (BPTB) graft. MATERIALS AND METHODS: One hundred and sixty professional athletes were enrolled in the study. They were divided into two groups by computerized randomization. In Group I, ACL reconstruction was done using BPTB graft, and in Group II, ACL reconstruction was done using semitendinosus gracilis graft with preserved tibial insertion (STGPI). Postoperatively, patients were assessed for knee stability, Lysholm score, and WOMAC score. RESULTS: Mean KT‐1000 side‐to‐side difference at 1 year was 2.31 ± 1.68 mm in BPTB cohort and 2.52 ± 1.6 mm in STGPI cohort (P = 0.4); and at 2 years, it was 1.98 ± 1.62 mm in BPTB cohort and 2.23 ± 1.6 mm in STGPI cohort (P = 0.4). Mean Lysholm score at 2 years was 96.1 ± 5.81 in STGPI cohort and 97.3 ± 4.62 in BPTB cohort (P = 0.15). Mean WOMAC score at 2 years was 3.3 ± 2.76 in STGPI cohort and 2.84 ± 2.21 in BPTB cohort (P = 0.25). Graft rupture rate was 3.75%; 3 patients in each group had graft rupture. Kneeling pain was present in 15% (12/80) of patients with BPTB graft whereas none of the patients in STGPI cohort had kneeling pain. CONCLUSION: There was no difference between two grafts in term of knee stability, visual analog scale score and functional outcome. However, hamstring tendon graft is associated with less donor site morbidity.",2020,English
1,2,PUBMED 31092226,Cochrane,10.1186/s12891-019-2589-x,"Getgood, A; Bryant, D; Firth, A",Cochrane,The Stability study: a protocol for a multicenter randomized clinical trial comparing anterior cruciate ligament reconstruction with and without Lateral Extra-articular Tenodesis in individuals who are at high risk of graft failure,"Background: The purpose of anterior cruciate ligament reconstruction (ACLR) is to restore stability to the knee. Persistent rotational laxity following ACLR has been correlated with poor outcome and graft failure. We hypothesize that anterolateral complex reconstruction by way of a Modified Lemaire Lateral Extra‐articular Tenodesis (LET) in combination with single bundle ACLR would reduce the risk of persistent rotatory laxity in young individuals who are deemed as being at high risk of failure. We will conduct a pragmatic, multicenter, randomized clinical trial comparing standard single bundle hamstring ACLR with combined ACLR and LET. Methods: Six‐hundred patients (300 per group) aged 25 years or less with an ACL deficient knee that meet two of the following three criteria will be included: 1) Grade 2 pivot shift or greater; 2) Returning to high risk cutting or pivoting sports; 3) Generalized ligamentous laxity. Participants will be seen at 3‐months, 6‐months, 12‐months and 24‐months post‐operatively. The primary outcome measure is graft failure requiring revision ACLR or symptomatic instability associated with a positive asymmetric pivot shift indicating persistent rotational laxity. Patients will complete secondary outcome measures at each follow‐up visit including patient‐reported outcome measures, functional and biomechanical testing, and magnetic resonance imaging. Discussion: This protocol is the first adequately powered randomized clinical trial investigating the effects of augmenting ACLR with an LET in patients at high‐risk of graft failure. The successful completion of this trial has the potential to change surgical practice and provide evidence for the role of the LET in ACLR. Trial registration: The trial is registered at ClinicalTrials.gov: NCT02018354, 23‐12‐2013.",2019,English
2,3,PUBMED 35985784,Cochrane,10.1136/bmjopen-2021-057465,"Bade, D; Malayko, G; Johnson, L; Bradford, K; Reddan, T; Stockton, C; Frawley, K; Phillips, T; Saxby, D; Ware, RS; Byrnes, J; Carty, CP",Cochrane,Single versus double hamstring tendon graft in anterior cruciate ligament reconstruction in the paediatric patient: a single-blind randomised controlled trial study protocol,"INTRODUCTION: There is currently no clear indication in the literature regarding a single or double hamstring tendon (single bundle) autograft for anterior cruciate ligament (ACL) reconstruction in the paediatric patient. The primary aim of this single blind randomised controlled trial is to determine whether a single or double hamstring tendon graft ACLR leads to superior clinical outcomes postsurgery in paediatric patients with ACL injury. METHODS AND ANALYSIS: Single site, prospective, single blind, randomised controlled trial with two parallel treatment arms. 100 patients aged 10‐18 years who present with an isolated ACL tear±meniscal injury, verified on MRI, will be randomly allocated to one of the two surgical groups. The primary outcomes will be side‐to‐side difference in anterior tibial translation and graft failure incidence 12 months postsurgery. Primary and secondary outcomes will also be assessed at 2‐year and 5‐year postsurgery. ETHICS AND DISSEMINATION: Results will be presented in peer‐reviewed journals and at international conferences and disseminated to participants and healthcare professionals via newsletters and hospital presentations. This study is approved by the Children's Health Queensland Hospital and Health Service Human Research Ethics committee. TRIAL REGISTRATION NUMBER: ACTRN12620001170910p; Australian New Zealand Clinical Trials Registry.",2022,English
3,4,PUBMED 37270112,Cochrane,10.1016/j.arthro.2023.05.019,"Rezansoff, A; Firth, AD; Bryant, DM; Litchfield, R; McCormack, RG; Heard, M; MacDonald, PB; Spalding, T; Verdonk, PCM; Peterson, D; Bardana, D; Getgood, AMJ",Cochrane,Anterior Cruciate Ligament Reconstruction Plus Lateral Extra-articular Tenodesis Has a Similar Return-to-Sport Rate to Anterior Cruciate Ligament Reconstruction Alone but a Lower Failure Rate,"PURPOSE: To determine whether the addition of lateral extra‐articular tenodesis (LET) to anterior cruciate ligament reconstruction (ACLR) would improve return‐to‐sport (RTS) rates in young, active patients who play high‐risk sports. METHODS: This multicenter randomized controlled trial compared standard hamstring tendon ACLR with combined ACLR and LET using a strip of the iliotibial band (modified Lemaire technique). Patients aged 25 years or younger with an anterior cruciate ligament‐deficient knee were included. Patients also had to meet 2 of the following criteria: (1) pivot‐shift grade 2 or greater, (2) participation in a high‐risk or pivoting sport, and (3) generalized ligamentous laxity. Time to return and level of RTS were determined via administration of a questionnaire at 24 months postoperatively. RESULTS: We randomized 618 patients in this study, 553 of whom played high‐risk sports preoperatively. The proportion of patients who did not RTS was similar between the ACLR (11%) and ACLR‐LET (14%) groups; however, the graft rupture rate was significantly different (11.2% in ACLR group vs 4.1% in ACLR‐LET group, P = .004). The most cited reason for no RTS was lack of confidence and/or fear of reinjury. A stable knee was associated with nearly 2 times greater odds of returning to a high‐level high‐risk sport postoperatively (odds ratio, 1.92; 95% confidence interval, 1.11‐3.35; P = .02). There were no significant differences in patient‐reported functional outcomes or hop test results between groups (P > .05). Patients who returned to high‐risk sports had better hamstring symmetry than those who did not RTS (P = .001). CONCLUSIONS: At 24 months postoperatively, patients who underwent ACLR plus LET had a similar RTS rate to those who underwent ACLR alone. Although the subgroup analysis did not show a statistically significant increase in RTS with the addition of LET, on returning, the addition of LET kept subjects playing longer by reducing graft failure rates. LEVEL OF EVIDENCE: Level I, randomized controlled trial.",2024,English
4,5,PUBMED 36988698,Cochrane,10.1007/s00590-023-03522-0,"Mousavi, SH; Radi, M; Kazemi, D; Izadpanah, F; Shahrouzian, A",Cochrane,Evaluation the results of anterior cruciate ligament reconstruction with or without using antibiotic solution during graft preparation,"Introduction: Joint infection after Anterior Cruciate Ligament (ACL) reconstruction is an uncommon infection which can affect joint movement and function. In this study, the impact of using antibiotic during graft preparation on the results of ACL reconstruction was investigated to examine the negative effects of antibiotic solution on graft and clinical symptoms after the surgery. Methods: In this randomized clinical trial study, 80 patients were enrolled. In one group, the graft was placed in vancomycin solution (500 mg of vancomycin powder in 100 ml of normal saline) for 10–15 min during the surgery. In other group, the surgery was performed routinely and the graft was not placed in antibiotic solution. Intravenous antibiotic was given to both groups and they underwent ACL reconstruction surgery through arthroscopic transportal technique using their hamstring tendon. Symptoms and examinations of patients were evaluated for one year after the surgery. Results: There was no difference between two groups in terms of knee dislocation, knee lock, pain, fever, positivity of Lachman test, Anterior drawer test and pivot‐shift test, knee swelling, and movement restriction in flection and extension (P > 0.05). No infection was seen in patients. Conclusions: Placing grafts in vancomycin solution does not have negative effects on graft quality and results of ACL surgery.",2023,English
5,6,PUBMED 33945339,Cochrane,10.1177/03635465211010798,"Marmura, H; Getgood, AMJ; Spindler, KP; Kattan, MW; Briskin, I; Bryant, DM",Cochrane,Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction,"BACKGROUND: Anterior cruciate ligament reconstructions (ACLRs) fail at an alarmingly high rate in young active individuals. The Multicenter Orthopaedic Outcomes Network (MOON) knee group has developed an autograft risk calculator that uses patient characteristics and lifestyle to predict the probability of graft rupture if the surgeon uses a hamstring tendon (HT) or a bone‐patellar tendon‐bone (BPTB) graft to reconstruct the ligament. If validated, this risk calculator can be used during the shared decision‐making process to make optimal ACLR autograft choices and reduce rupture rates. The STABILITY 1 randomized clinical trial offers a large, rigorously collected data set of similar young active patients who received HT autograft with or without lateral extra‐articular tenodesis (LET) for ACLR. PURPOSE/HYPOTHESIS: The purpose was to validate the ACLR graft rupture risk calculator in a large external data set and to investigate the utility of BPTB and LET for ACLR. We hypothesized that the risk calculator would maintain adequate discriminative ability and calibration in the external STABILITY 1 data set when compared with the initial MOON development data set. STUDY DESIGN: Cohort study (diagnosis); Level of evidence, 1. METHODS: The model predictors for the risk calculator include age, sex, body mass index, sport played at the time of injury, Marx Activity Score, preoperative knee laxity, and graft type. The STABILITY 1 trial data set was used for external validation. Discriminative ability, calibration, and diagnostic test validity of the model were assessed. Finally, predictor strength in the initial and validation samples was compared. RESULTS: The model showed acceptable discriminative ability (area under the curve = 0.73), calibration (Brier score = 0.07), and specificity (85.3%) to detect patients who will experience a graft rupture. Age, high‐grade preoperative knee laxity, and graft type were significant predictors of graft rupture in young active patients. BPTB and the addition of LET to HT were protective against graft rupture versus HT autograft alone. CONCLUSION: The MOON risk calculator is a valid predictor of ACLR graft rupture and is appropriate for clinical practice. This study provides evidence supporting the idea that isolated HT autografts should be avoided for young active patients undergoing ACLR. REGISTRATION: NCT00463099 (MOON); NCT02018354 (STABILITY 1) (ClinicalTrials.gov identifiers).",2021,English
6,7,,Cochrane,10.1097/JSM.0000000000001220,"Mohtadi, N; Chan, D; Hunter, D",Cochrane,"Long-Term Quality of Life and Clinical Outcomes of a Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle Hamstring ACL Reconstructions at 10 Years Postoperatively","Objective: To compare disease‐specific quality of life and clinical outcomes at 10 years after reconstruction for ACL deficiency using a patellar tendon (PT), single‐bundle quadruple‐stranded hamstring tendon (HT), or doublebundle (DB) hamstring tendon construct. Study Design: Prospective, double‐blind randomized clinical trial. Subjects: Three hundred and thirty patients (183 male patients; 14‐50 years), with confirmed anterior cruciate ligament deficiency. Intervention: Patients (110/group) were intraoperatively randomized (computer‐generated, varied block) to anatomic ACLreconstruction with: PT (mean age 28.7 years),HT(mean age 28.5 years), or DB (mean age 28.3 years) autografts. Patients and an independent trained examiner were blinded to treatment allocation. Outcome Measures: Outcomes were measured at baseline and 2, 5, and 10 years postoperatively. Primary: Anterior Cruciate Ligament Quality of Life (ACL‐QOL). Secondary: IKDC subjective and objective scores, pivot shift, kneeling pain, Tegner activity, Cincinnati Occupational Scale, Single Leg Hop. Proportions of complete reruptures, partial reruptures, and combined total traumatic reinjuries were compared. An analysis of variance for repeated measures compared continuous data; χ2 analyses compared categorical data, with a 5% significance level. Results: Two hundred and eighty seven patients (87%) completed 10‐year follow‐up (mean 10.2 ± 1.2 years), 6 withdrawals, 1 deceased, 36 lost to follow‐up. Demographic characteristics of patients with 10‐year follow‐up were not different between groups. ACL‐QOL scores increased from baseline to 10 years for all groups (P < 0.001). The mean 10‐ year ACL‐QOL scores were not different (P = 0.912): PT = 76.4 ± 21.0 (95% CI 72.1‐80.7); HT = 77.7 ± 20.5 (95% CI 73.4‐81.9); DB = 77.3 ± 21.5 (95% CI: 73.0‐81.7). The proportion of patients with a pivot shift grade ≥2 (PT = 18%; HT = 25%; DB = 24%) was not statistically significant between groups (P = 0.866) but is clinically important. None of the secondary outcomes at 10 years were different between groups, including kneeling pain (PT = 6%; HT = 4%; DB = 7%; P = 0.637). Thereweremore complete traumatic graft ruptures in theHT andDBgroups (HT=16%;DB=15%)compared with patellar tendon reconstructions (PT = 7%; P = 0.142). Revision ACL reconstruction was performed on 36 of these 37 patients.Twelve additional patients had partial graft reruptures (PT=1;HT=5; DB = 6) with cumulatively less traumatic reinjuries in the PT group (PT = 8/95; HT = 21/93; DB = 21/99, P = 0.023). Conclusions: At 10 years, there was no difference in diseasespecific ACL quality of life outcome between the three ACL reconstructions, but significantly more traumatic reinjuries in the HT and DB than the PT group.",2024,English
7,8,PUBMED 27289276,Cochrane,10.1016/j.arthro.2016.04.013,"Tian, S; Wang, Y; Wang, B; Liu, L; Ha, C; Li, Q; Sun, K",Cochrane,"Anatomic Double-Bundle Anterior Cruciate Ligament Reconstruction With a Hamstring Tendon Autograft and Fresh-Frozen Allograft: a Prospective, Randomized, and Controlled Study","PURPOSE: To compare the clinical outcome of anatomic double‐bundle (DB) anterior cruciate ligament (ACL) reconstruction with a hamstring tendon autograft versus fresh‐frozen allograft. METHODS: Between January 2010 and December 2011, in a prospective randomized study, we included 157 patients who were planned to receive anatomic DB ACL reconstruction with a hamstring tendon autograft or fresh‐frozen allograft. All surgeries were performed by the same senior surgeon with the DB reconstruction technique. The fixation of femoral side grafts was by means of an EndoButton, and the tibial side grafts were fixed with a bioabsorble interference screw augmented with a staple. The same rehabilitation protocol was applied to all the patients. Patients were evaluated preoperatively and at the follow‐up points. Evaluations included detailed history, physical examination, radiograph, functional knee ligament testing, KT‐2000 arthrometer testing, Harner's vertical jump and Daniel's one‐leg hop tests, Lysholm score, Tegner score, the International Knee Documentation Committee (IKDC) standard evaluation form, and Cincinnati knee score. RESULTS: One hundred and twenty‐one patients (Auto, 62; Allo, 59) fulfilled complete follow‐up and got full clinical evaluations. The mean follow‐up was 4.6 years (4.0 to 5.5 years) for both groups. No significant differences were found between the 2 groups according to the evaluations aforementioned except that patients in the Allo group had shorter operation time compared with the Auto group (P = .001). Fifty‐three (85.5%) patients in the Auto group and 50 (84.7%) patients in the Allo group had a side‐to‐side difference of less than 3 mm. Four (6.5%) patients in the Auto group and 4 (6.8%) patients in the Allo group had a side‐to‐side difference of more than 5 mm. Fifty‐nine (95.8%) patients in the Auto group and 55 (93.2%) patients in the Allo group were normal or nearly normal according to the overall IKDC. According to the subjective IKDC, the average scores were 90 and 89 points, respectively, for the Auto and Allo groups. The mean Lysholm and Tegner scores were 90 points and 7.9 points for the Auto group, respectively, and 89 points and 7.8 points for the Allo group, respectively. For the Cincinnati knee score, the average scores were 91 and 90 points, respectively, for the Auto and Allo groups. A total of 11.3% (7 of 62) of patients in the Auto group and 11.9% (7 of 59) of patients in the Allo group had an arthritic progression. There was no statistical difference between the 2 groups at the final follow‐up. CONCLUSIONS: With the anatomic DB ACL reconstruction technique, comparable objective and subjective clinical results can be achieved with the use of a fresh‐frozen hamstring tendon allograft compared with an autograft. LEVEL OF EVIDENCE: Level II, prospective randomized clinical trial.",2016,English
8,9,PUBMED 38284303,Cochrane,10.1177/03635465231222279,"Ebert, JR; Calvert, ND; Radic, R",Cochrane,A Prospective Randomized Controlled Trial Investigating Quadriceps Versus Hamstring Tendon Autograft in Anterior Cruciate Ligament Reconstruction,"BACKGROUND: Numerous graft options are available when undertaking anterior cruciate ligament (ACL) reconstruction (ACLR), although a lack of high‐quality evidence exists comparing quadriceps (QT) and hamstring (HT) autografts. PURPOSE: To investigate patient outcomes in patients undergoing HT versus QT ACLR. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: After recruitment and randomization, 112 patients (HT = 55; QT = 57) underwent ACLR. Patients were assessed pre‐ and postoperatively (6 weeks and 3, 6, 12, and 24 months), with a range of patient‐reported outcome measures (PROMs), graft laxity (KT‐1000 arthrometer; primary outcome variable), active knee flexion and extension range of motion (ROM), peak isokinetic knee extensor and flexor strength, and a 6‐hop performance battery. Limb symmetry indices (LSIs) were calculated for strength and hop measures. Secondary procedures, ACL retears, and contralateral ACL tears were reported. RESULTS: All PROMs and knee ROM measures significantly improved (P < .0001), and no other group differences (P > .05) were observed‐apart from the Anterior Cruciate Ligament Return to Sport after Injury (ACL‐RSI) score, which was significantly better in the HT group at 3 (P = .008), 6 (P = .010), and 12 (P = .014) months. No significant changes were observed in side‐to‐side laxity from 6 to 24 months (P = .105), and no group differences were observed (P = .487) at 6 (HT mean, 1.2; QT mean, 1.3), 12 (HT mean, 1.1; QT mean, 1.3), and 24 (HT mean, 1.1; QT mean, 1.2) months. While the HT group demonstrated significantly greater (P < .05) quadriceps strength LSIs at 6 and 12 months, the QT group showed significantly greater (P < .05) hamstring strength LSIs at 6, 12, and 24 months. The HT group showed significantly greater (P < .05) LSIs for the single horizontal (6 months), lateral (6 and 12 months), and medial (6 months) hop tests for distance. Up until 24 months, 1 patient (QT at 22 months) had a retear, with 2 contralateral ACL tears (QT at 19 months; HT at 23 months). Secondary procedures included 5 in the HT group (manipulation under anesthesia, notch debridement, meniscal repair, and knee arthroscopy for scar tissue) and 6 in the QT group (notch debridement, meniscal repair, knee arthroscopy for scar tissue, tibial tubercle transfer, and osteochondral autologous transplantation). CONCLUSION: Apart from the ACL‐RSI, the 2 autograft groups compared well for PROMs, knee ROM, and laxity. However, greater hamstring strength LSIs were observed for the QT cohort, with greater quadriceps strength (and hop test) LSIs in the HT cohort. The longer‐term review will continue to evaluate return to sports and later‐stage reinjury between the 2 graft constructs. REGISTRATION: ACTRN12618001520224p (Australian New Zealand Clinical Trials Registry).",2024,English
9,10,,Cochrane,,"Gogoi, P; Singh, SAK; Roy, J; Bhattacharjee, NP",Cochrane,Quadriceps Tendon Versus Hamstring Tendon Autograft for Anterior Cruciate Ligament Reconstruction: a Randomized Controlled Study,"Background: Anterior cruciate ligament (ACL) reconstruction commonly uses hamstring tendon (HT) and quadriceps tendon (QT) autografts, but direct comparisons of their outcomes are limited. Aims: To compare functional outcomes, knee stability, pain levels, strength recovery, and complication rates between HT and QT autografts in ACL reconstruction. Methods: A prospective, comparative study was conducted on 30 patients aged 18–50 years with primary ACL tears at a tertiary care center. Patients were randomly assigned to HT or QT autograft groups. Functional outcomes (Lysholm, IKDC scores), knee stability (Pivot Shift, Lachman tests), and pain (VAS) were assessed preoperatively and at 2, 6, 12 weeks and 6, 12 months postoperatively. Results: At 6 months, 60% showed no Pivot Shift instability and 76.7% had no Lachman laxity. The QT group demonstrated slightly better functional outcomes (Lysholm 91.93, IKDC 89.27) compared to the HT group (Lysholm 87.53, IKDC 85.93). Both groups had an average return to activity time of 6.7 months with no graft failures or reoperations. Conclusion: Both HT and QT autografts offer reliable outcomes for ACL reconstruction with good knee stability and minimal complications. The QT autograft showed a slight advantage in functional recovery but overall, both grafts are effective options..",2026,English
