"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PPYXLPUJ","journalArticle","2020","Clark, Justin; Glasziou, Paul; Del Mar, Chris; Bannach-Brown, Alexandra; Stehlik, Paulina; Scott, Anna Mae","A full systematic review was completed in 2 weeks using automation tools: a case study","Journal of Clinical Epidemiology","","0895-4356","10.1016/j.jclinepi.2020.01.008","https://www.sciencedirect.com/science/article/pii/S089543561930719X","Background and Objectives Systematic reviews (SRs) are time and resource intensive, requiring approximately 1 year from protocol registration to submission for publication. Our aim was to describe the process, facilitators, and barriers to completing the first 2-week full SR. Study Design and Setting We systematically reviewed evidence of the impact of increased fluid intake, on urinary tract infection (UTI) recurrence, in individuals at risk for UTIs. The review was conducted by experienced systematic reviewers with complementary skills (two researcher clinicians, an information specialist, and an epidemiologist), using Systematic Review Automation tools, and blocked off time for the duration of the project. The outcomes were time to complete the SR, time to complete individual SR tasks, facilitators and barriers to progress, and peer reviewer feedback on the SR manuscript. Times to completion were analyzed quantitatively (minutes and calendar days); facilitators and barriers were mapped onto the Theoretical Domains Framework; and peer reviewer feedback was analyzed quantitatively and narratively. Results The SR was completed in 61 person-hours (9 workdays; 12 calendar days); accepted version of the manuscript required 71 person-hours. Individual SR tasks ranged from 16 person-minutes (deduplication of search results) to 461 person-minutes (data extraction). The least time-consuming SR tasks were obtaining full-texts, searches, citation analysis, data synthesis, and deduplication. The most time-consuming tasks were data extraction, write-up, abstract screening, full-text screening, and risk of bias. Facilitators and barriers mapped onto the following domains: knowledge; skills; memory, attention, and decision process; environmental context and resources; and technology and infrastructure. Two sets of peer reviewer feedback were received on the manuscript: the first included 34 comments requesting changes, 17 changes were made, requiring 173 person-minutes; the second requested 13 changes, and eight were made, requiring 121 person-minutes. Conclusion A small and experienced systematic reviewer team using Systematic Review Automation tools who have protected time to focus solely on the SR can complete a moderately sized SR in 2 weeks.","2020-05-01","2026-07-20 06:51:36","2026-07-20 06:51:36","2026-07-20 06:51:36","81-90","","","121","","Journal of Clinical Epidemiology","A full systematic review was completed in 2 weeks using automation tools","","","","","","","","","","","","ScienceDirect","","","","C:\Users\Danny\Zotero\storage\FXAQ4R7C\Clark et al. - 2020 - A full systematic review was completed in 2 weeks using automation tools a case study.pdf; C:\Users\Danny\Zotero\storage\YPLZPC6Y\S089543561930719X.html","","","2 week systematic review; 2wSR; Automation; Barriers; Facilitators; Methods improvement; Systematic review accelerator; Systematic reviews","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHBSWEDW","journalArticle","2020","Yang, Xiong-gang; Wang, Feng; He, Xin; Feng, Jiang-tao; Hu, Yong-cheng; Zhang, Hao; Yang, Li; Hua, Kunchi","Network meta-analysis of knee outcomes following anterior cruciate ligament reconstruction with various types of tendon grafts","International Orthopaedics","","1432-5195","10.1007/s00264-019-04417-8","https://doi.org/10.1007/s00264-019-04417-8","Various grafts were selected for restoring knee stability and regaining pre-injury activity levels after anterior cruciate ligament (ACL) rupture. This review aimed to compare the short-term knee outcomes of different tendon grafts for primary ACL reconstruction (ACLR).","2020-02-01","2026-07-20 22:44:29","2026-07-20 22:44:29","2026-07-20 22:44:29","365-380","","2","44","","International Orthopaedics (SICOT)","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Danny\Zotero\storage\4QNLQTF7\Yang et al. - 2020 - Network meta-analysis of knee outcomes following anterior cruciate ligament reconstruction with vari.pdf","","","Anterior cruciate ligament; Artificial ligament; Knee function; Knee stability; Tendon allograft; Tendon autograft","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9GSFMIY5","journalArticle","2026","Malik S; Biswas G; Singh SK; Sundaresan N; Bera AP; Kyada M","Comparative Evaluation of Peroneus Longus Tendon and Hamstring Tendon Autografts in Primary Anterior Cruciate Ligament Reconstruction: A Randomized Controlled Trial.","J Orthop Case Rep","","","10.13107/jocr.2026.v16.i05.7294","","INTRODUCTION: Anterior cruciate ligament (ACL) injury remains one of the most common causes of functional knee instability among young and active individuals. Autografts, especially hamstring tendon (HT) grafts, have long been considered the standard of care; however, concerns regarding variable graft diameter, harvest-related muscle weakness, and donor-site morbidity have led to interest in alternative grafts. The peroneus longus tendon (PLT) has gained attention due to its adequate length, favorable biomechanical strength, and minimal functional deficit at the donor site. This randomized controlled trial compared the clinical, functional, and stability outcomes of PLT autografts with HT autografts in primary ACL reconstruction. MATERIALS AND METHODS: A prospective randomized controlled trial was conducted on 50 patients undergoing primary ACL reconstruction. Participants were randomized into two equal groups: Group A received PLT autograft (n = 25), and Group B received HT autograft (n = 25). Baseline characteristics, intraoperative parameters, post-operative pain, knee stability, donor-site morbidity, and functional outcomes were assessed using International Knee Documentation Committee (IKDC), Lysholm, and Tegner scores at 3 and 6 months. KT-1000 arthrometer measurements, Lachman and pivot-shift tests were used for objective stability assessment. Data were analyzed using the Statistical Package for the Social Sciences, with P < 0.05 considered statistically significant. RESULTS: Baseline demographic variables were comparable between groups. PLT grafts demonstrated significantly larger mean graft diameter (8.9 ± 0.6 mm) compared to HT grafts (8.1 ± 0.7 mm; P = 0.001). Operative time was significantly shorter in the PLT group (78.6 ± 11.3 min vs. 86.2 ± 12.7 min; P = 0.02). Early post-operative pain scores were lower in the PLT group (P < 0.05). At 6 months, the PLT group showed significantly higher IKDC (82.6 ± 6.3 vs. 78.9 ± 7.4; P = 0.04) and Lysholm scores (89.4 ± 5.8 vs. 85.1 ± 6.4; P = 0.03). Knee stability outcomes, including Lachman grade, pivot shift, and KT-1000 measurements, were comparable across groups. Donor-site morbidity was significantly lower in the PLT group, with minimal ankle strength deficit compared to notable hamstring weakness in the HT group. Complication rates were low and similar across both groups. CONCLUSION: PLT autograft demonstrated larger graft diameter, reduced post-operative pain, better early functional outcomes, and lower donor-site morbidity compared with the traditional hamstring autograft while maintaining equivalent knee stability. PLT appears to be a reliable and effective graft option for primary ACL reconstruction, especially in individuals where preservation of hamstring strength is desirable.","2026","2026-07-23 01:39:08","2026-07-23 01:39:08","","320-328","","5","16","","J Orthop Case Rep","","","","","","","India","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z84TPP29","journalArticle","2026","Vendrig T; Keizer MNJ; Brouwer RW; Houdijk H; Hoogeslag RAG","Similar dynamic tibiofemoral movements during jump-landing and walking but distinct hamstrings strength across ACL reconstruction autograft types at mid-term follow-up.","Knee Surg Sports Traumatol Arthrosc","","","10.1002/ksa.70275","","PURPOSE: Dynamic tibiofemoral movements following anterior cruciate ligament reconstruction (ACLR) with quadriceps tendon (QT) autografts have not yet been compared to other autografts. We aimed to compare dynamic anterior tibial translation (ATTd) and internal tibial rotation (ITRd) during jump-landing and walking among patients with QT, bone-patellar tendon-bone (BPTB) and hamstrings tendon (HT) autografts at mid-term follow-up. The secondary aim was to compare lower extremity strength among autografts. METHODS: Patients were included from a previous randomized controlled trial (randomly received primary ACLR with a QT, BPTB or HT autograft), and were prospectively assessed for additional analyses. Primary outcome measures were side-to-side differences in ATTd and ITRd during the side hop, single-leg hop for distance, triple hop for distance, double-leg drop-jump and walking, measured using 3D optoelectronic motion capture, and statistically analyzed using statistical parametric mapping. Moreover, isometric hamstrings and quadriceps strength limb symmetry index (LSI) were assessed using a dynamometer. RESULTS: Thirty patients were included at 4.7 ± 1.8 years (range: 1.4-7.2) post-ACLR (n = 10 per autograft; age: 31.0 ± 4.8 years). No significant between-group differences were observed for side-to-side difference in ATTd and ITRd during all dynamic tasks (p > 0.05). QT and BPTB autograft groups demonstrated greater isometric hamstrings strength LSI (QT = 98.4% vs. BPTB = 99.3% vs. HT = 79.0%; p = 0.02) and greater hamstrings/quadriceps strength ratio LSI (QT = 102.0% vs. BPTB = 104.6% vs. HT = 79.6%; p = 0.01) compared to the HT autograft, but quadriceps strength was similar among autografts. CONCLUSIONS: Patients who underwent ACLR with QT autografts demonstrated similar side-to-side differences in ATTd and ITRd compared to patients with BPTB and HT autografts 5 years post-ACLR, without demonstrating graft-harvest-related strength deficits, whereas patients with HT autografts showed persistent hamstrings weakness. Graft selection should consider persistent hamstrings strength deficits in patients with HT autografts, while ATTd and ITRd are not autograft-dependent. These findings support QT autografts as a viable option for ACLR. LEVEL OF EVIDENCE: Level II.","2026","2026-07-23 01:39:08","2026-07-23 01:39:08","","","","","","","Knee Surg Sports Traumatol Arthrosc","","","","","","","Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LPCHA5QE","journalArticle","2026","Sonnery-Cottet B; Carrozzo A; Poilvache H; Fayard JM; Freychet B; Thaunat M; Vieira TD; Saithna A","Anterior cruciate ligament reconstruction combined with anterolateral ligament reconstruction using hamstring autograft versus anterior cruciate ligament reconstruction using bone-patellar tendon-bone autograft: a randomised controlled trial with 5-year f","Lancet Reg Health Eur","","","10.1016/j.lanepe.2025.101561","","BACKGROUND: Anterior Cruciate Ligament (ACL) rupture is common knee injury. Although ACL reconstruction (ACLR) is standard, graft failure rates remain high in young active patients. This study investigated whether combining ACLR with anterolateral ligament (ALL) reconstruction (ALLR) reduces grafts failure compared with ACLR. METHODS: In this prospective, single-centre, randomised controlled trial conducted at the Santy Orthopedic Center in Lyon, France, patients aged 18-35 years with symptomatic ACL rupture were randomly allocated (1:1) to ACL + ALL reconstruction using hamstring tendon autograft (ACLR + ALLR) or ACLR with bone-patellar tendon-bone autograft (ACLR). Randomisation was performed with a block size of four using telematic software by an independent study coordinator, with concealed allocation. Surgeons were informed of the assigned procedure on the morning of surgery. Outcome assessors were not blinded. The primary outcome was graft failure at 5 years, assessed clinically and by magnetic resonance imaging (MRI) by an independent sports medicine physicians not involved in the index surgery. Efficacy analyses were performed on the Full Analysis Set in accordance with the intention-to-treat principle, while safety analyses were conducted on the Safety Set. Trial registration: ClinicalTrials.gov, ID NCT03740022. The trial has been completed. FINDINGS: Between November 11, 2016, and January 20, 2020, 593 patients were randomized (297 assigned to ACLR + ALLR and 296 to ACLR). The mean age was 25.0 years (SD 4.5); 447 (75%) participants were male and 146 (25%) female. Of these 593 patients, 556 (94%) completed a mean 5-year follow-up. Graft failure occurred in 12/283 (4.2%) with ACLR + ALLR versus 28/273 (10.3%) with ACLR (p = 0.006; adjusted odds ratio 2.54 [95% CI 1.27; 5.36]-p = 0.008). The number needed to treat was 17 overall, and 9 in patients younger than 25 years. INTERPRETATION: In our study of young, active adults with ACL rupture, who are considered high-risk for graft failure, combining ACL reconstruction with anterolateral ligament reconstruction (ACLR + ALLR) significantly decreased graft failure compared with ACLR. These results suggest that ACLR + ALLR might be beneficial for young or highly active individuals and provide a basis for future research to refine patient selection, evaluate long-term outcomes beyond five years, and explore benefits in other subgroups of patients with ACL injuries. FUNDING: GCS Ramsay Santé pour l'Enseignement et la Recherche funds the scientific activity at the Santy center.","2026","2026-07-23 01:39:08","2026-07-23 01:39:08","","101561","","","62","","Lancet Reg Health Eur","","","","","","","England","","","","","ClinicalTrials.gov/NCT03740022","","","","","C:\Users\Danny\Zotero\storage\2SY76QNG\Sonnery-Cottet B et al. - 2026 - Anterior cruciate ligament reconstruction combined with anterolateral ligament reconstruction using.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B5BVQQDP","journalArticle","2026","Johns WL; Voskeridjian A; Miltenberg B; Muchintala R; Dodson CC; Cohen SB; Salvo J; Sherman M; Ciccotti MG; Hammoud S","Regional Anesthesia Utilizing Liposomal Bupivacaine, With or Without Dexamethasone, Provides Excellent Pain Control and Minimizes Opioid Consumption Following Anterior Cruciate Ligament Reconstruction.","Orthop J Sports Med","","","10.1177/23259671251401596","","BACKGROUND: Perioperative nerve blocks are commonly used for regional analgesia with anterior cruciate ligament (ACL) reconstruction (ACLR). Liposomal bupivacaine (LB) is a long-acting anesthetic agent providing up to 72 hours of nerve blockade. It is theorized that the addition of dexamethasone to LB (LB+dex) may prolong the analgesic duration. PURPOSE: To characterize pain control and opioid consumption with adductor canal block (ACB), interspace between the popliteal artery and capsule of the posterior knee (iPACK), and suprasartorial infiltration (SSI) regional anesthetic techniques utilizing LB after ACLR and to compare LB versus LB+dex. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: Patients undergoing primary ACLR using bone-patellar tendon-bone or quadriceps tendon autograft were included. All patients received an ACB, iPACK, and SSI preoperatively. Patients were randomized to receive either LB or LB+dex for their anesthetic agent. Opioid consumption, visual analog scale (VAS) scores, pain control satisfaction, and duration of block effect were recorded postoperatively. RESULTS: A total of 131 patients were included in the analysis. The mean opioid consumption for all patients was 1.20 ± 2.42 five-mg oxycodone tablets (8.97 ± 18.12 morphine milliequivalents [MME]). We did not observe a significant difference in oxycodone consumption between cohorts during the study period (1.42 ± 2.92 vs 0.97 ± 1.91; 10.65 ± 21.90 MME vs 7.28 ± 14.33 MME; P = .76). An estimated 95.2% of opioids prescribed went unused and 77.1% (101/131) of patients consumed no opioids. There was no significant difference in VAS score, patient satisfaction, or duration of block effect between cohorts. CONCLUSION: A single shot of LB with or without dexamethasone via ACB, SSI, and iPACK block provided excellent pain control and minimized opioid consumption after autograft ACLR. Nearly 80% of patients did not require opioids postoperatively, making opioid-free ACLR a realistic possibility for many patients. When narcotics were required, the dose of opioids was minimal; patients required 1.2 tablets of oxycodone on average, and >95% of the opioids prescribed went unused. Despite previous reports suggesting a prolonged duration of anesthetic effect when LB is combined with dexamethasone, we found no difference in opioid consumption, VAS score, patient satisfaction, or duration of block effect when patients received dexamethasone with their regional block. The utilization of regional anesthetic techniques such as ACB, SSI, and iPACK blocks in conjunction with LB-based anesthetics could allow providers to curtail or potentially eliminate opioid prescriptions after ACL surgery. REGISTRATION: NCT06006624 (ClinicalTrials.gov identifier).","2026","2026-07-23 01:39:08","2026-07-23 01:39:08","","23259671251401596","","1","14","","Orthop J Sports Med","","","","","","","United States","","","","","ClinicalTrials.gov/NCT06006624","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9X45MBW","journalArticle","2025","Yadav AK; Sharma A; Paul N; Bhakhar A; Sarkar B; Azam MQ","Quadriceps versus hamstrings autograft in anterior cruciate ligament reconstruction: a randomized control trial.","Eur J Orthop Surg Traumatol","","","10.1007/s00590-025-04510-2","","PURPOSE: The use of quadriceps tendon (QT) autograft is on the rise owing to its specific attributes, such as predictable size, lower graft failure rate, and less donor site morbidity. The hypothesis for the current study is that ACL reconstruction using QT autograft results in better clinical outcomes than hamstrings tendon (HT). METHODS: Patients underwent a single-bundle, all-inside ACL reconstruction after being randomized into QT and HT groups. At 12 months, objective outcomes (Lachman test, anterior drawer test, pivot shift test, and side-to-side anterior translation measurement with KT-1000) and subjective outcomes (Lysholm and KOOS scores) were evaluated, along with donor site morbidity and graft failure. RESULTS: Sixty-nine patients (QT: 33, HT: 36) were included in the final analysis. At 12 month follow-up, a negative Lachman test was found in 72.7% of cases in the QT group and 41.6% in the HT group (p = 0.04). Positive pivot shift was more frequent in the HT group (13.9% vs. 0%, p = 0.27), while KT-1000 showed greater anterior translation in the HT group than QT (3.77 ± 2.01 vs. 2.73 ± 1.64 mm, p = 0.23). Lysholm (92.4 vs. 88.2, p = 0.008) and KOOS (94.1 vs. 89.6, p = 0.01) scores were higher in the QT group. The only case of graft failure occurred in the HT group, which also had more sensory hypoesthesia (30.5%), while one patient in the QT group developed stiffness requiring arthrolysis. CONCLUSION: Quadriceps tendon autograft in ACL reconstruction offers superior translational stability and reduced donor site morbidity, with comparable PROMs and a trend toward improved rotational stability. CTRI REGISTRATION NUMBER: CTRI/2023/07/055894. EVIDENCE LEVEL: Level 1, Randomized Controlled Study.","2025","2026-07-23 01:39:08","2026-07-23 01:39:08","","395","","1","35","","Eur J Orthop Surg Traumatol","","","","","","","France","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UAP77ECQ","journalArticle","2025","Breker AN; Badger GJ; Kiapour AM; Costa MQ; Fleming EN; Ferrara SL; Chrostek CA; Fadale PD; Hulstyn MJ; Shalvoy RM; Gil HC; Fleming BC","Effect of Initial Graft Tension on Knee Osteoarthritis Outcomes After ACL Reconstruction: A Randomized Controlled Clinical Trial With 15-Year Follow-up.","Orthop J Sports Med","","","10.1177/23259671251320972","","BACKGROUND: The graft tension applied during anterior cruciate ligament (ACL) graft fixation (subsequently referred to as initial graft tension) could potentiate posttraumatic osteoarthritis (PTOA) and influence other outcomes. PURPOSE/HYPOTHESIS: The purpose of this study was to analyze the effects of initial graft tension on imaging and patient-reported outcomes related to PTOA 15 years postreconstruction surgery. Clinical and functional outcomes were also assessed. It was hypothesized that (1) the high-tension group would have improved imaging findings and outcomes compared with the low-tension group at 15-year follow-up and (2) the imaging findings and outcomes for the high-tension group would be equivalent to the sex-, race-, age-, and activity level matched control group. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: Consented patients underwent ACL reconstruction (ACLR) with bone-patellar tendon-bone or a 4-strand hamstring tendon autograft. A matched uninjured control group was assembled for comparison. Two laxity-based tensioning procedures were randomized: (1) tension set to restore normal anteroposterior (AP) laxity at time of surgery relative to the contralateral uninjured knee (low-tension group) or (2) tension set to overconstrain AP laxity at time of surgery relative to the contralateral knee (high-tension group). Baseline outcome measures, radiographs, and magnetic resonance imaging (MRI) scans were collected prior to surgery and at 15 years postoperatively. RESULTS: For medial joint space width, the differences between limbs across the 3 groups were not significant. Within the tension groups, the Whole Organ MRI Score was significantly higher in the surgical knee relative to the contralateral knee in both groups, while the Osteoarthritis Research Society International radiographic scores were higher in the surgical knee in the low-tension group only. A total of 43% of patients in both tension groups met the Knee injury and Osteoarthritis Outcome Score composite criteria for a symptomatic knee compared with controls (10%; P = .01). Most other outcomes, including AP laxity, International Knee Documentation Committee knee examination score, and single-leg hop test were not significantly different between the 3 groups. CONCLUSION: The results do not support the hypotheses that patients in the high-tension group would have better chondroprotection compared with the low-tension group and have equivalent outcomes with the matched controls. Overall, the results show that patients undergoing ACLR are more likely to develop PTOA and display inferior outcomes compared with the uninjured matched control group, regardless of graft tension.","2025","2026-07-23 01:39:08","2026-07-23 01:39:08","","23259671251320972","","3","13","","Orthop J Sports Med","","","","","","","United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7QEQ2SXW","journalArticle","2025","Lucidi GA; Agostinone P; Di Paolo S; Dal Fabbro G; Serra M; Viotto M; Grassi A; Zaffagnini S","Long-term Outcomes After Anterior Cruciate Ligament Reconstruction With 3 Different Surgical Techniques: A Prospective Randomized Clinical and Radiographic Evaluation at a Minimum of 20 Years' Follow-up.","Orthop J Sports Med","","","10.1177/23259671241302348","","BACKGROUND: In recent years, lateral extra-articular tenodesis (LET) has been shown to be promising in reducing the graft failure rate at short-term follow-up. However, there is a lack of studies investigating the incidence of complications and lateral osteoarthritis (OA) after this procedure, and only a few studies have reported long-term results after anterior cruciate ligament (ACL) reconstruction. PURPOSE/HYPOTHESIS: This study aimed to compare the failure rate, clinical outcomes, and OA incidence of 3 different ACL reconstruction techniques: single-bundle quadrupled hamstring tendon (HT), bone-patellar tendon-bone (BPTB), and over-the-top HT plus LET (HT + LET). The authors hypothesized that the 3 techniques would have comparable clinical and radiographic outcomes at long-term follow-up. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: A total of 75 patients were included in this prospective study and randomized to undergo 1 of 3 ACL reconstruction techniques. At the last follow-up (minimum of 20 years), patient-reported outcome measure (PROM) scores, complications, and reoperations were collected, and an objective clinical evaluation was performed, including the measurement of anteroposterior (AP) laxity using an arthrometer and the quantification of the pivot shift (PS) using a triaxial accelerometer. Clinical failure was considered in patients with evidence of a graft rupture or those with a side-to-side difference in AP laxity >5 mm or with a side-to-side difference in the PS >1.5 mm/s(2). At the last follow-up, patients also underwent a radiographic evaluation to assess the incidence of tibiofemoral and patellofemoral OA. RESULTS: PROM scores were collected from 61 patients (81%) at a mean follow-up of 23.0 ± 1.1 years. Of the 75 patients, 37 (49%) completed the clinical evaluation, and 35 (47%) had radiographs obtained. Regarding the PROMs, the HT + LET group showed a slightly higher Tegner score than the BPTB group (P = .023). All other PROM scores were not significantly different between groups. The revision and clinical failure rates were 16% and 37%, respectively, for the BPTB group, 10% and 25%, respectively, for the HT group, and 5% and 19%, respectively, for the HT + LET group, with no statistical difference between the groups. The side-to-side difference in AP laxity was lower in the BPTB group than in the HT group (P = .049). The BPTB group showed a higher patellofemoral OA rate than the HT + LET group (P = .029). There was no difference in the incidence of lateral OA between the 3 techniques. CONCLUSION: The 3 different surgical techniques achieved satisfactory clinical outcomes after ACL reconstruction at long-term follow-up. However, the BPTB group was associated with an increased incidence of patellofemoral OA. Also, the HT + LET group was associated with a slightly increased Tegner score at long-term follow-up, but there was no evidence of an increased risk of lateral OA for the HT + LET group.","2025","2026-07-23 01:39:08","2026-07-23 01:39:08","","23259671241302348","","1","13","","Orthop J Sports Med","","","","","","","United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I4SY9XXE","journalArticle","2025","García-Linage R; Lassard-Rosenthal J; Noval-García R; Muñiz-Madrazo A; Fraind-Maya G; Palmero-Picazo J; German-Córdoba I; Zimbrón-López D","[Autologous hamstring versus quadriceps graft in anterior cruciate ligament plasty. Comparative study with focus on Return-To-Sport].","Acta Ortop Mex","","","","","INTRODUCTION: anterior cruciate ligament rupture has evolved to be one of the most common sports injuries with a remarkable increase in its incidence in the last two decades, with Return-To-Sport being a crucial approach in the choice of autologous graft for its surgical repair, the most commonly used being hamstring and quadriceps tendon graft. MATERIAL AND METHODS: a prospective randomized study was performed with 32 patients divided into two groups, one for each type of graft, with 13 patients in each. They were evaluated before surgery, at 30, 180 and 360 days after the procedure using scales such as Lysholm, mCKRS and ACL-RSI, and their previous activity level was considered using the Tegner score. RESULTS: it was observed that, at 30 and 180 days after surgery, there were significant differences in pain assessment using the VAS scale between the groups, while at 360 days no significant differences were observed. No significant differences were found in Lysholm and mCKRS scale scores in either group at days 30, 180, and 360, but significant differences were found in ACL-RSI scale scores at 30 and 180 days between the two groups, which did not hold at 360 days. CONCLUSION: despite the difference in postoperative pain, Return-To-Sport times and overall recovery showed no significant differences between the two types of grafts in this study.","2025","2026-07-23 01:39:08","2026-07-23 01:39:08","","19-26","","1","39","","Acta Ortop Mex","","","","","","","Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
