,id,pmid,source,doi,authors,journal,title,abstract,year,language
0,1,41536854,pubmed,10.1016/j.lanepe.2025.101561,"['Sonnery-Cottet B', 'Carrozzo A', 'Poilvache H', 'Fayard JM', 'Freychet B', 'Thaunat M', 'Vieira TD', 'Saithna A', 'Santy Orthopedic Center Group']",The Lancet regional health. Europe,Anterior cruciate ligament reconstruction combined with anterolateral ligament reconstruction using hamstring autograft versus anterior cruciate ligament reconstruction using bone-patellar tendon-bone autograft: a randomised controlled trial with 5-year follow-up.,"BACKGROUND: Anterior Cruciate Ligament (ACL) rupture is common knee injury. Although ACL reconstruction (ACLR) is standard, graft failure rates remain high in young active patients. This study investigated whether combining ACLR with anterolateral ligament (ALL) reconstruction (ALLR) reduces grafts failure compared with ACLR. METHODS: In this prospective, single-centre, randomised controlled trial conducted at the Santy Orthopedic Center in Lyon, France, patients aged 18-35 years with symptomatic ACL rupture were randomly allocated (1:1) to ACL + ALL reconstruction using hamstring tendon autograft (ACLR + ALLR) or ACLR with bone-patellar tendon-bone autograft (ACLR). Randomisation was performed with a block size of four using telematic software by an independent study coordinator, with concealed allocation. Surgeons were informed of the assigned procedure on the morning of surgery. Outcome assessors were not blinded. The primary outcome was graft failure at 5 years, assessed clinically and by magnetic resonance imaging (MRI) by an independent sports medicine physicians not involved in the index surgery. Efficacy analyses were performed on the Full Analysis Set in accordance with the intention-to-treat principle, while safety analyses were conducted on the Safety Set. Trial registration: ClinicalTrials.gov, ID NCT03740022. The trial has been completed. FINDINGS: Between November 11, 2016, and January 20, 2020, 593 patients were randomized (297 assigned to ACLR + ALLR and 296 to ACLR). The mean age was 25.0 years (SD 4.5); 447 (75%) participants were male and 146 (25%) female. Of these 593 patients, 556 (94%) completed a mean 5-year follow-up. Graft failure occurred in 12/283 (4.2%) with ACLR + ALLR versus 28/273 (10.3%) with ACLR (p = 0.006; adjusted odds ratio 2.54 [95% CI 1.27; 5.36]-p = 0.008). The number needed to treat was 17 overall, and 9 in patients younger than 25 years. INTERPRETATION: In our study of young, active adults with ACL rupture, who are considered high-risk for graft failure, combining ACL reconstruction with anterolateral ligament reconstruction (ACLR + ALLR) significantly decreased graft failure compared with ACLR. These results suggest that ACLR + ALLR might be beneficial for young or highly active individuals and provide a basis for future research to refine patient selection, evaluate long-term outcomes beyond five years, and explore benefits in other subgroups of patients with ACL injuries. FUNDING: GCS Ramsay Sante pour l'Enseignement et la Recherche funds the scientific activity at the Santy center.",2026,['English']
1,2,39886263,pubmed,10.1177/23259671241302348,"['Lucidi GA', 'Agostinone P', 'Di Paolo S', 'Dal Fabbro G', 'Serra M', 'Viotto M', 'Grassi A', 'Zaffagnini S']",Orthopaedic journal of sports medicine,Long-term Outcomes After Anterior Cruciate Ligament Reconstruction With 3 Different Surgical Techniques: A Prospective Randomized Clinical and Radiographic Evaluation at a Minimum of 20 Years' Follow-up.,"BACKGROUND: In recent years, lateral extra-articular tenodesis (LET) has been shown to be promising in reducing the graft failure rate at short-term follow-up. However, there is a lack of studies investigating the incidence of complications and lateral osteoarthritis (OA) after this procedure, and only a few studies have reported long-term results after anterior cruciate ligament (ACL) reconstruction. PURPOSE/HYPOTHESIS: This study aimed to compare the failure rate, clinical outcomes, and OA incidence of 3 different ACL reconstruction techniques: single-bundle quadrupled hamstring tendon (HT), bone-patellar tendon-bone (BPTB), and over-the-top HT plus LET (HT + LET). The authors hypothesized that the 3 techniques would have comparable clinical and radiographic outcomes at long-term follow-up. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: A total of 75 patients were included in this prospective study and randomized to undergo 1 of 3 ACL reconstruction techniques. At the last follow-up (minimum of 20 years), patient-reported outcome measure (PROM) scores, complications, and reoperations were collected, and an objective clinical evaluation was performed, including the measurement of anteroposterior (AP) laxity using an arthrometer and the quantification of the pivot shift (PS) using a triaxial accelerometer. Clinical failure was considered in patients with evidence of a graft rupture or those with a side-to-side difference in AP laxity >5 mm or with a side-to-side difference in the PS >1.5 mm/s(2). At the last follow-up, patients also underwent a radiographic evaluation to assess the incidence of tibiofemoral and patellofemoral OA. RESULTS: PROM scores were collected from 61 patients (81%) at a mean follow-up of 23.0 +/- 1.1 years. Of the 75 patients, 37 (49%) completed the clinical evaluation, and 35 (47%) had radiographs obtained. Regarding the PROMs, the HT + LET group showed a slightly higher Tegner score than the BPTB group (P = .023). All other PROM scores were not significantly different between groups. The revision and clinical failure rates were 16% and 37%, respectively, for the BPTB group, 10% and 25%, respectively, for the HT group, and 5% and 19%, respectively, for the HT + LET group, with no statistical difference between the groups. The side-to-side difference in AP laxity was lower in the BPTB group than in the HT group (P = .049). The BPTB group showed a higher patellofemoral OA rate than the HT + LET group (P = .029). There was no difference in the incidence of lateral OA between the 3 techniques. CONCLUSION: The 3 different surgical techniques achieved satisfactory clinical outcomes after ACL reconstruction at long-term follow-up. However, the BPTB group was associated with an increased incidence of patellofemoral OA. Also, the HT + LET group was associated with a slightly increased Tegner score at long-term follow-up, but there was no evidence of an increased risk of lateral OA for the HT + LET group.",2025,['English']
2,3,39221503,pubmed,10.1177/03635465241271524,"['Popovic M', 'Myhre JR', 'Holen JIH', 'Gifstad T', 'Strand IL', 'Strand T', 'Mo IF', 'Fischer-Bredenbeck C', 'Drogset JO']",The American journal of sports medicine,Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon.,"BACKGROUND: Bone-patellar tendon-bone (BPTB) and double-looped semitendinosus and gracilis (hamstring) grafts are commonly used for anterior cruciate ligament (ACL) reconstruction. Short-term and midterm studies show little or no differences between the 2 grafts; however, there are only a few long-term studies to compare results between the 2 grafts. PURPOSE: To compare the results after using either BPTB grafts or hamstring tendon grafts 18 years after ACL reconstruction. STUDY DESIGN: Randomized controlled trial; Level of evidence 2. METHODS: A total of 114 patients with ACL rupture between 2001 and 2004 were randomized to reconstruction with either a BPTB graft or a hamstring tendon graft. Patients were operated on at 4 major hospitals. The 18-year follow-up evaluation included anterior knee laxity measured with a KT-1000 arthrometer, defined as the primary outcome, while clinical examination (Lachman and pivot-shift tests), isokinetic testing of muscle strength, patient-reported outcome measures, and an assessment of radiographic osteoarthritis using the Kellgren-Lawrence classification were defined as secondary outcomes. RESULTS: A total of 96 patients (84%, 47 BPTB and 49 hamstring grafts) were available for follow-up, 71 of these for clinical examination. Seven of 96 patients were excluded for ACL revision (n = 5) or knee replacement (n = 2) surgery. In total, 25 patients (10 BPTB and 15 hamstring grafts) had undergone additional surgery other than ACL revision or total knee arthroplasty. There were no significant differences between the groups in terms of anterior laxity test with KT-1000 arthrometer (primary outcome). In secondary outcomes, no significant differences between groups were reported regarding clinical examination, patient-reported outcome scores, or radiographic osteoarthritis (Kellgren-Lawrence grade 2-4 for patellofemoral joint [18 hamstring and 14 BPTB] or tibiofemoral joint [20 hamstring and 19 BPTB]), while isokinetic testing revealed that the hamstring group had a 10.7% reduction in mean peak flexion torque compared with the BPTB group at 60 deg/s (df = 59; P = .011). At 60 deg/s the mean total flexion work in the hamstring group was reduced by 17.2% compared with the BPTB group (df = 59; P = .002). CONCLUSION: The flexion strength in the hamstring group was significantly reduced in the operated knee after 18 years. There were no significant differences between the groups regarding subjective outcomes, patient-reported outcomes, range of motion, clinical and instrumented knee laxity, and the development of osteoarthritis. REGISTRATION: NCT05876013 (ClinicalTrials.gov identifier).",2024,['English']
3,4,38021297,pubmed,10.1177/23259671231210035,"['Anz AW', 'Jordan SE', 'Ostrander RV 3rd', 'Branch EA', 'Denney TS', 'Cohen A', 'Andrews JR']",Orthopaedic journal of sports medicine,Augmentation of ACL Autograft Reconstruction With an Amnion Collagen Matrix Wrap and Bone Marrow Aspirate Concentrate: A Pilot Randomized Controlled Trial With 2-Year Follow-up.,"BACKGROUND: It is theorized that the lack of a synovial lining after anterior cruciate ligament (ACL) injury and ACL reconstruction (ACLR) contributes to slow ligamentization and possible graft failure. Whether graft maturation and incorporation can be improved with the use of a scaffold requires investigation. PURPOSE: To evaluate the safety and efficacy of wrapping an ACL autograft with an amnion collagen matrix and injecting bone marrow aspirate concentrate (BMAC), quantify the cellular content of the BMAC samples, and assess 2-year postoperative patient-reported outcomes. STUDY DESIGN: Randomized controlled trial; Level of evidence, 2. METHODS: A total of 40 patients aged 18 to 35 years who were scheduled to undergo ACLR were enrolled in a prospective single-blinded randomized controlled trial with 2 arms based on graft type: bone-patellar tendon-bone (BTB; n = 20) or hamstring (HS; n = 20). Participants in each arm were randomized into a control group who underwent standard ACLR or an intervention group who had their grafts wrapped with an amnion collagen matrix during graft preparation, after which BMAC was injected under the wrap layers after implantation. Postoperative magnetic resonance imaging (MRI) mapping/processing yielded mean T2* relaxation time and graft volume values at 3, 6, 9, and 12 months. Participants completed the Single Assessment Numeric Evaluation Score, Knee injury and Osteoarthritis Outcome Score, and pain visual analog scale. Statistical linear mixed-effects models were used to quantify the effects over time and the differences between the control and intervention groups. Adverse events were also recorded. RESULTS: No significant differences were found at any time point between the intervention and control groups for BTB T2* (95% CI, -1.89 to 0.63; P = .31), BTB graft volume (95% CI, -606 to 876.1; P = .71), HS T2* (95% CI, -2.17 to 0.39; P = .162), or HS graft volume (95% CI, -11,141.1 to 351.5; P = .28). No significant differences were observed between the intervention and control groups of either graft type on any patient-reported outcome measure. No adverse events were reported after a 2-year follow-up. CONCLUSION: In this pilot study, wrapping a graft with an amnion collagen matrix and injecting BMAC appeared safe. MRI T2* values and graft volume of the augmented ACL graft were not significantly different from that of controls, suggesting that the intervention did not result in improved graft maturation. REGISTRATION: NCT03294759 (ClinicalTrials.gov identifier).",2023,['English']
4,5,37893482,pubmed,10.3390/medicina59101764,"['Obradović M', 'Ninković S', 'Gvozdenović N', 'Tošić M', 'Milinkov M', 'Dulić O']","Medicina (Kaunas, Lithuania)",Tubularization of Bone-Tendon-Bone Grafts: Effects on Mechanical Strength and Postoperative Knee Stability in Anterior Cruciate Ligament Reconstruction.,"Background and Objectives: The study addresses a significant limitation in applying bone-patellar tendon-bone (BTB) grafts in anterior cruciate ligament (ACL) surgery. By exploring the tubularization of grafts, the study extends the understanding of this surgical technique. The dual approach of the study-focusing on biomechanical properties using an animal model and postoperative outcomes in humans-offers a comprehensive perspective. Materials and Methods: The experimental cohort encompassed ten pairs of fresh porcine bone-tendon-bone grafts. One graft in each pair underwent modification through sutures that transformed the flat graft into a cylindrical structure. Testing determined the force required for the modified graft to rupture mechanically, expressed as N/mm(2), compared to conventionally prepared bone-tendon-bone grafts. The second phase of the research involved a prospective randomized clinical trial comprising 120 patients undergoing operative ACL reconstruction. For half the cases, grafts were tubularized using a random selection process. Clinical evaluations preoperatively and 12 months postoperatively employed the Tegner, Lysholm, and IKDC scoring scales for knee assessment. Results: Experiments showed that ligaments made using the tubularized surgical technique have statistically significantly higher values of measured force and higher maximum elongation values than ligaments made using the classical method. The clinical study concluded that there was no significant difference between the two groups of patients in the average score on the Tegner, Lysholm, and IKDC scales before and after surgery. Conclusions: The study results showed that suturing the graft does not negatively affect its biomechanical properties, and tubularization significantly increases the values of force required to cause rupture and the values of maximum elongation during rupture. Given the possibility of the one-year follow-up period being insufficient, future investigations should extend this period to acquire objective functional insights post-surgery.",2023,['English']
5,6,35468330,pubmed,10.1016/j.knee.2022.03.015,"['de Souza Borges JH', 'Oliveira M', 'Junior PL', 'de Souza Machado R', 'Lima R', 'Ramos LA', 'Cohen M']",The Knee,Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial.,"AIM: The aim of this study was to compare the peak extensor torque (primary outcome), sensory-motor capacity and Lysholm questionnaire score up to the fourth postoperative month post-primary anterior cruciate ligament reconstruction (ACLR) with bone-patellar-tendon-bone (BPTB) graft using either ipsilateral or contralateral technique in young sportsmen. METHODS: We performed a randomized controlled trial from 2018 to 2019. The same preoperative protocol, surgical technique and postoperative protocol were used in both groups. Eighty-eight young adult male patients were randomized, and 44 of each group completed the trial. RESULTS: After the follow up analysis, the contralateral receptor and donor limb demonstrated a statistically significant increase in peak extension torque compared with the ipsilateral operated limb (effect size (ES) = 0.99, power = 0.99, P < 0.0001; ES = 0.46, power = 0.56, P < 0.04). The symmetry between limbs was compared between groups. In the contralateral group, there was a significant decrease in the recipient limb (after surgery), compared with the donor limb (before surgery) (ES = 0.87, power = 0.99, P < 0.0001). In the ipsilateral group, the operated limb demonstrated a significant decrease in peak extension torque compared with the non-operated limb after surgery (ES = 1.88, power = 0.99, P < 0.0001). The comparison between groups in sensory-motor capacity and Lysholm score demonstrated a non-significant group effect postoperatively. CONCLUSION: The use of contralateral BPTB is more effective in increasing peak extension torque when compared with ipsilateral technique in young sportsmen. Furthermore, patients achieved greater symmetry (side to side) in quadriceps muscle performance after the 4-month follow up with a contralateral graft.",2022,['English']
6,7,35464901,pubmed,10.1177/23259671221088830,"['Oliveira M', 'Júnior PL', 'Imoto AM', 'Santos T', 'Borges JHS', 'Nunes P', 'Barin FR', 'Damando M', 'Peccin MS']",Orthopaedic journal of sports medicine,Unilateral Versus Bilateral Resistance Exercise in Postoperative Rehabilitation After ACL Reconstruction With Bone-Patellar Tendon-Bone Graft: A Randomized Controlled Trial.,"BACKGROUND: Lower limb muscle strength symmetry has been suggested as an essential criterion for the safe return to sports after anterior cruciate ligament (ACL) reconstruction. Limited evidence is available regarding the most effective intervention to achieve symmetry after reconstruction with contralateral bone-patellar tendon-bone (BPTB) graft. PURPOSE: To verify whether unilateral isotonic resistance exercise is more effective than bilateral exercise for obtaining postoperative functional and muscular strength symmetry between the donor limb and reconstructed limb for patients who received BPTB graft. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: A total of 88 patients were randomly divided into a control group (n = 44) and an intervention group (n = 44). All participants performed an 8-week exercise program starting at the beginning of the fourth postoperative month and were evaluated before and after the program. The control group performed bilateral exercises, and the intervention group performed unilateral exercises for the donor limb only (the limb with the greatest disability). The primary outcome was muscle strength (peak torque and hamstrings to quadriceps [H:Q] ratio), and the secondary outcomes were range of motion (ROM; goniometry), KT-1000 arthrometer side-to-side difference in anteroposterior knee laxity, and objective (single-leg hop test) and subjective (Lysholm score) functionality. RESULTS: Both groups improved significantly from before to after the exercise program. The improvements were significantly greater in the intervention group regarding peak torque, H:Q ratio, flexion ROM, single-leg hop test, and Lysholm score in the donor limb (P < .001 for all), and the improvements were significantly greater in the control group regarding peak torque and single-leg hop test in the reconstructed limb (P < .001 for both). Comparison between the groups showed significantly increased symmetry regarding peak torque, H:Q ratio, and single-leg hop test in the intervention group compared with the control group (P < .001), with large effect sizes (>0.80) except for the H:Q ratio. CONCLUSION: Although postoperative, bilateral, isotonic resistance exercise provided better strength gains to the reconstructed limb, unilateral exercise was more effective in obtaining functional and muscle strength between-limb symmetry in patients who underwent ACL reconstruction with contralateral BPTB graft. REGISTRATION: Brazilian Registry of Clinical Trials (number RBR-22rnjh).",2022,['English']
7,8,35155707,pubmed,10.1177/23259671211070542,"['Sanborn RM', 'Badger GJ', 'BEAR Trial Team', 'Yen YM', 'Murray MM', 'Christino MA', 'Proffen B', 'Sant N', 'Barnett S', 'Fleming BC', 'Kramer DE', 'Micheli LJ']",Orthopaedic journal of sports medicine,Psychological Readiness to Return to Sport at 6 Months Is Higher After Bridge-Enhanced ACL Restoration Than Autograft ACL Reconstruction: Results of a Prospective Randomized Clinical Trial.,"BACKGROUND: Previous clinical studies have shown that psychological factors have significant effects on an athlete's readiness to return to sport after anterior cruciate ligament (ACL) reconstruction (ACLR). HYPOTHESIS: We hypothesized that patients who underwent bridge-enhanced ACL restoration (BEAR) would have higher levels of psychological readiness to return to sport compared with patients who underwent ACLR. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: A total of 100 patients (median age, 17 years; median preoperative Marx activity score, 16) with complete midsubstance ACL injuries were randomized to either the BEAR procedure (n = 65) or autograft ACLR (n = 35 [33 hamstring and 2 bone--patellar tendon-bone]) and underwent surgery within 45 days of injury. Objective, functional, and patient-reported outcomes, including the ACL--Return to Sport after Injury (ACL-RSI) scale, were assessed at 6, 12, and 24 months postoperatively. RESULTS: Patients who underwent the BEAR procedure had significantly higher ACL-RSI scores at 6 months compared with those who underwent ACLR (71.1 vs 58.2; P = .008); scores were similar at 12 and 24 months. Baseline factors independently predictive of higher ACL-RSI scores at 6 months were having a BEAR procedure and participating in level 1 sports prior to injury, explaining 15% of the variability in the scores. Regression analysis of baseline and 6-month outcomes as predictors indicated that the International Knee Documentation Committee (IKDC) score at 6 months explained 45% of the 6-month ACL-RSI variance. Subsequent analysis with IKDC excluded from the model indicated that decreased pain, increased hamstring and quadriceps strength in the surgical limb, and decreased side-to-side difference in anteroposterior knee laxity were significant predictors of a higher ACL-RSI score at 6 months, explaining 34% of the variability in scores. Higher ACL-RSI score at 6 months was associated with earlier clearance to return to sports. CONCLUSION: Patients who underwent the BEAR procedure had higher ACL-RSI scores at 6 months postoperatively. Better ACL-RSI scores at 6 months were related most strongly to higher IKDC scores at 6 months and were also associated with lower pain levels, better muscle recovery, and less knee laxity at 6 months. REGISTRATION: NCT02664545 (ClinicalTrials.gov identifier).",2022,['English']
8,9,35042007,pubmed,10.1016/j.arthro.2022.01.010,"['Forsythe B', 'Chahla J', 'Korrapati A', 'Lavoie-Gagne O', 'Forlenza E', 'Diaz CC', 'Chung CB', 'Bae WC', 'Bach BR', 'Cole B', 'Yanke AB', 'Verma NN']",Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,Bone Marrow Aspirate Concentrate Augmentation May Accelerate Allograft Ligamentization in Anterior Cruciate Ligament Reconstruction: A Double-Blinded Randomized Controlled Trial.,"PURPOSE: To assess the effect of bone marrow aspiration concentrate (BMAC) augmentation on clinical outcomes and magnetic resonance imaging (MRI) findings in anterior cruciate ligament (ACL) reconstruction (ACLR) with bone-patellar tendon-bone (BTB) allografts. METHODS: A double-blinded, randomized controlled trial was conducted on 80 patients undergoing ACL reconstruction using BTB allografts. Patients were randomized to 2 groups: (1) bone marrow aspirate was collected from the iliac crest, concentrated, and approximately 2.5 mL was injected into the BTB allograft, or (2) a small sham incision was made at the iliac crest (control). MRI was performed at 3 months and 9 months postoperatively to determine the signal intensity ratio of the ACL graft. RESULTS: Seventy-three patients were available for follow-up at 1-year postoperatively (36 BMAC, 37 control). International Knee Documentation Committee (IKDC) scores were significantly greater in the BMAC group versus the control at the 9-month postoperative period (81.6 +/- 10.5 vs 74.6 +/- 14.2, P = .048). There was no significant difference in the proportion of patients who met the minimal clinically important difference for IKDC between the BMAC and control groups at 9 months (89% vs 85%; P = .7). Three months postoperatively, signal intensity ratio of the inferior third of the ACL graft was significantly greater in the BMAC group versus the control group (3.2 +/- 2.2 vs 2.1 +/- 1.5; P = .02). CONCLUSIONS: Patients who received BMAC augmentation of the BTB allograft during ACL reconstruction demonstrated greater signal intensity scores on MRI at 3 months, suggesting increased metabolic activity and remodeling, and potentially accelerated ligamentization. Additionally, patients in the BMAC group had greater patient-reported outcomes (IKDC) at 9 months postoperatively when compared with those who underwent a standard surgical procedure. There was no significant difference in the proportion of patients who met the minimal clinically important difference for IKDC between the BMAC and control groups at 9 months, suggesting limited clinical significance at this time point. LEVEL OF EVIDENCE: I, randomized control trial.",2022,['English']
9,10,34952186,pubmed,10.1016/j.arthro.2021.12.018,"['Chahal J', 'Whelan DB', 'Hoit G', 'Theodoropoulos J', 'Ajrawat P', 'Betsch M', 'Docter S', 'Dwyer T']",Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,Anterior Cruciate Ligament Patellar Tendon Autograft Fixation at 0° Versus 30° Results in Improved Activity Scores and a Greater Proportion of Patients Achieving the Minimal Clinical Important Difference For Knee Injury and Osteoarthritis Outcome Score Pain: A Randomized Controlled Trial.,"PURPOSE: The aim of the current study was to determine the effect of the knee flexion angle (KFA) during tibial anterior cruciate ligament (ACL) graft fixation on patient-reported outcomes, graft stability, extension loss, and reoperation after anatomic single-bundle ACL reconstruction. METHODS: All 169 included patients (mean age 28.5 years, 65% male) were treated with anatomic single-bundle ACL reconstruction using patellar tendon autograft and were randomized to tibial fixation of the ACL graft at either 0 degrees  (n = 85) or 30 degrees  (n = 84). The primary outcome was the Knee Injury and Osteoarthritis Outcome Score (KOOS) 2 years after surgery. Secondary outcomes were the Marx Activity Scale (MAS), the rate of reoperation, and physical examination findings at 1 year, including KT-1000 and side-to-side differences in knee extension. RESULTS: The follow-up rate was 82% (n = 139) for the primary outcome. Graft failure rate at 2 years was 1% (n = 2, 1 per group). ACL tibial graft fixation at 0 degrees  or 30 degrees  did not have a significant effect on KOOS scores at 2 years after ACLR. Patients whose graft was fixed at a knee flexion angle of 0 degrees  had greater scores on the MAS (mean 9.6 95% confidence interval [CI] 8.5 to 10.6, versus 8.0, 95% CI 6.9 to 9.1; P = .04), and a greater proportion achieved the minimal clinical important difference (MCID) for the KOOS pain subdomain (94% versus 81%; P = .04). There was no significant difference in knee extension loss, KT-1000 measurements, or reoperation between the 2 groups. CONCLUSION: In the setting of anatomic single-bundle ACLR using patellar tendon autograft and anteromedial portal femoral drilling, there was no difference in KOOS scores between patients fixed at 0 degrees  and 30 degrees . Patient fixed in full extension did demonstrate higher activity scores at 2 years after surgery and a greater likelihood of achieving the MCID for KOOS pain. LEVEL OF EVIDENCE: II, prospective randomized trial.",2022,['English']
