,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract,year
0,41827078,2026 Mar 13,2026 Mar 13,J Orthop Surg Res,"['Liu C', 'Sun Z', 'Jiang X', 'Liu B', 'Zhao Y']",Zhao Y,Cross-education effects of healthy-side lower-limb strength training on neuromuscular function recovery following anterior cruciate ligament reconstruction: a randomized controlled trial.,21,1,,['English'],101265112,,1749-799X,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,epublish,"['41827078', 'PMC13097873', 'pmc-id: PMC13097873;', '10.1186/s13018-026-06776-6', '10.1186/s13018-026-06776-6']",10.1186/s13018-026-06776-6,"['2025/12/30 00:00', '2026/02/18 00:00', '2026/04/22 00:34', '2026/03/14 06:33', '2026/03/14 00:56', '2026/03/13 00:00']",[],1,68,Journal of orthopaedic surgery and research,doi: 10.1186/s13018-026-06776-6,2026 Mar 13;21(1),"OBJECTIVE: Based on cross-education theory, this study aimed to investigate whether Healthy-Side Lower-Limb Strength Training could promote neuromuscular function recovery of the injured limb in patients following anterior cruciate ligament reconstruction (ACLR) through central nervous system-mediated contralateral adaptive mechanisms. METHODS: A single-masked, randomized controlled trial was conducted with 40 patients at 5-6 weeks post-ACLR, who were randomly allocated to intervention and control groups (n = 20). The control group received conventional rehabilitation, while the intervention group received conventional rehabilitation plus Healthy-Side Lower-Limb Strength Training for 6 weeks. The Lysholm knee function score was used to assess knee joint function at baseline and post-intervention. A wireless surface electromyography system was used to measure root mean square (RMS) values of bilateral rectus femoris, semitendinosus, tibialis anterior, and lateral gastrocnemius muscles during maximal voluntary contraction and level walking. The activation ratios of the flexor and extensor muscle groups were calculated to evaluate muscle synergy patterns. The effects of Healthy-side strength training on bilateral lower limb muscle activation patterns and knee joint function were assessed through within-group pre- and post-intervention comparisons and between-group analyses. RESULTS: Following the 6-week intervention, Lysholm knee function scores improved significantly in both groups, with the intervention group demonstrating a significantly greater magnitude of improvement than the control group (P < 0.01). At baseline, the RMS values of all recorded muscles on the affected side were significantly lower than those on the unaffected side during both MVC and level walking in both groups (P < 0.01). Following the intervention, the intervention group demonstrated significant reductions in affected-to-unaffected limb asymmetry across all four muscle groups during both MVC and level walking (P < 0.01), whereas the control group exhibited significant asymmetry reductions in only a limited number of muscle groups during MVC alone (P < 0.01). In the intervention group, the RMS values of the bilateral rectus femoris, semitendinosus, tibialis anterior, and lateral gastrocnemius increased significantly during both MVC and level walking relative to baseline (P < 0.05). In contrast, the control group demonstrated significant improvements in only a limited subset of muscle groups. Between-group post-intervention comparisons revealed that the intervention group achieved significantly higher activation levels in the unaffected-side rectus femoris, bilateral semitendinosus, and unaffected-side tibialis anterior than the control group (P < 0.05). Both groups exhibited a declining trend in flexor-extensor co-contraction ratios; however, neither between-group nor within-group differences reached statistical significance (P > 0.05). CONCLUSION: Healthy-Side Lower-Limb Strength Training effectively promoted knee joint function recovery and enhanced bilateral lower limb muscle activation in patients following ACLR through cross-education mechanisms. These findings validate the clinical utility of cross-education theory and support Healthy-side strength training as an innovative rehabilitation strategy for early post-ACLR recovery. TRIAL REGISTRATION: Chinese Clinical Trial Registry ChiCTR2400087325. Registered on 25/07/2024.",2026
1,37873691,2022 Oct,2022 Apr 13,J ISAKOS,"['Cruz CA', 'Mannino BJ', 'Pike A', 'Thoma D', 'Lindell K', 'Kerbel YE', 'McCadden A', 'Lopez AJ', 'Bottoni CR']",Bottoni CR,Increased posterior tibial slope is an independent risk factor of anterior cruciate ligament reconstruction graft rupture irrespective of graft choice.,7,5,100-104,['English'],101680867,2059-7754,2059-7762,"['Randomized Controlled Trial', 'Journal Article']",PubMed - indexed for MEDLINE,ppublish+epublish,"['37873691', '10.1016/j.jisako.2022.04.002', 'S2059-7754(22)00045-1']",10.1016/j.jisako.2022.04.002,"['2022/01/19 00:00', '2022/03/23 00:00', '2022/04/03 00:00', '2023/11/01 12:42', '2023/10/24 06:41', '2023/10/24 05:30']",[],1,0,Journal of ISAKOS : joint disorders & orthopaedic sports medicine,doi: 10.1016/j.jisako.2022.04.002,2022 Oct;7(5):100-104,"INTRODUCTION: Anterior cruciate ligament (ACL) reconstruction failure remains a commonly seen complication despite advances in technique and graft options. Recently, several studies have shown that the inclination of the tibial plateau in the sagittal plane affects the stability of the knee joint. The purpose of this study was to determine if an increased posterior slope of the tibia is associated with failure of ACL reconstruction irrespective of the graft used. METHODS: From June 2002 to August 2003, a total of 100 patients with a symptomatic ACL-deficient knee were randomised to receive either a hamstring autograft or posterior tibialis allograft. All allografts were from a single tissue bank, aseptically processed, and fresh-frozen without terminal irradiation. ACL graft failures requiring reoperation with a minimum of 10-year follow-up were identified via telephone survey. Lateral radiographs of the knee of all patients were reviewed, and the slope of the tibia was measured using a standardised technique. Two fellowship-trained orthopaedic sports medicine specialists, one board-certified general orthopaedic surgeon, and two fellowship-trained musculoskeletal radiologists measured the tibial slope in all patients. RESULTS: At a minimum of 10-year follow-up, there were four (8.3%) autograft and 13 (26.5%) allograft failures that required revision reconstruction. The overall average tibial slope of the nonfailure cohort was 9.4 degrees . The overall average tibial slope of the failure cohort was 11.9 degrees (P ​= ​0.0002). The average slope of the allograft failures was 11.5 degrees compared with an average slope of 9.6 degrees  in the nonfailures (P ​= ​0.01). The average slope of the autograft failures was 13.1 degrees  compared with 9.3 degrees  in the nonfailures (P ​= ​0.011). The mean difference in tibial slope measurements was 0.665 (95% confidence interval: 0.569-0.750). The interrater reliability, as measured by the intraclass correlation coefficient, for tibial slope was 0.898 (95% confidence interval: 0.859-0.928). The Cronbach alpha was 0.904. CONCLUSION: In a prospective, randomised trial of ACL reconstructions using either autograft or allograft, failures were associated with a significantly increased slope of the tibia compared with the nonfailures at 10-year follow-up.",2022
2,37280245,2023 Jun 6,2023 Jun 6,Sci Rep,"['Ahmadabadi S', 'Rjabi H', 'Gharakhanlou R', 'Talebian S', 'Basereh A']",Basereh A,Effects of a 4-week plyometric training on activity patterns during different phases of one-leg drop jump with focus on jump height.,13,1,9192,['English'],101563288,,2045-2322,"['Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,epublish,"['37280245', 'PMC10244407', 'pmc-id: PMC10244407;', '10.1038/s41598-023-36461-1', '10.1038/s41598-023-36461-1']",10.1038/s41598-023-36461-1,"['2023/03/15 00:00', '2023/06/04 00:00', '2023/06/08 06:42', '2023/06/07 01:07', '2023/06/06 23:18', '2023/06/06 00:00']",[],1,58,Scientific reports,doi: 10.1038/s41598-023-36461-1,2023 Jun 6;13(1):9192,"Athletic women have shown a higher risk of ACL injury during jump landing compared to men. Plyometric training can be an alternative way to minimize the risk of knee injuries via the changed muscle activity patterns. Hence, the aim of this study was to determine the effects of a 4-week plyometric training program on the muscle activity pattern in different phases of one-leg drop jump in active girls. Active girls were randomly allocated into 2 groups (Plyometric training = 10, Control group = 10) where the plyometric training group (PTG) performed 60 min exercises, 2 sessions/1 week for 4 weeks while the control group (CG) had their daily activity. In the pre to post test, the sEMG was recorded from the Rectus Femoris (RF), Biceps Femoris (BF), Medial Gastrocnemius (GaM), and Tibialis Anterior (TA) muscles of the dominant leg during the Preparatory phase (PP), Contact Phase (CP), Flight Phase (FP) of one-leg drop jump. Electromyography variables (Signal amplitude, Maximum activity, Time to peak (TTP), Onset and activity time and Order muscle activity) and Ergo jump variables (Time of preparatory phase (TPP), Time of contact phase (TCP), Time of flight (jump height) phase (TFP), and Explosive power were analyzed. The Univariate ANCOVA test showed a significant difference between the two groups in Activity Time, whilst adjusting for pre-test as a Covariate, only in TA muscle (F((1,17)) = 5.09, p = 0.038, eta(2) = 0.230). In PTG. TA (- 15%), GaM (- 19%), and BF muscles (- 9%) started their activity earlier while there was no significant difference between the two groups at the Onset time. TTP of RF was significantly different between the 2 groups only in the PR phase (0.216 +/- 0.07 vs 0.153 +/- 0.09 s) (p = 0.049, 95% CI = 0.001, 0.127). Results of the present study suggest that a 4-week plyometric training can improve the stability of leg joints via earlier recruitment of muscles and change activity patterns in lower limb muscles. It also recommends that the preparatory phase before landing be considered an important stage in preventing sports injuries in a training program.",2023
3,35114581,2022 Mar,2022 Jan 20,J Biomech,"['Zandiyeh P', 'Parola LR', 'Fleming BC', 'Beveridge JE']",Beveridge JE,Wavelet analysis reveals differential lower limb muscle activity patterns long after anterior cruciate ligament reconstruction.,133,,110957,['English'],0157375,0021-9290,1873-2380,"['Journal Article', 'Randomized Controlled Trial', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['35114581', 'NIHMS1775927', 'PMC8893161', 'pmc-id: PMC8893161;manuscript-id: NIHMS1775927;', '10.1016/j.jbiomech.2022.110957', 'S0021-9290(22)00016-1']",10.1016/j.jbiomech.2022.110957,"['2021/06/22 00:00', '2022/01/05 00:00', '2022/01/06 00:00', '2022/02/04 06:00', '2022/03/19 06:00', '2022/02/03 20:17', '2023/03/01 00:00']",[],1,49,Journal of biomechanics,doi: 10.1016/j.jbiomech.2022.110957,2022 Mar;133:110957,"The purpose of this study was to test whether differences in muscle activity patterns between anterior cruciate ligament-reconstructed patients (ACLR) and healthy controls could be detected 10 to 15 years post-surgery using a machine learning classification approach. Eleven ACLR subjects and 12 healthy controls were recruited from an ongoing prospective randomized clinical trial. Surface electromyography (EMG) signals were recorded from gastrocnemius medialis and lateralis, tibialis anterior, vastus medialis, rectus femoris, biceps femoris, and semitendinosus muscles. Muscle activity was analyzed using wavelet analysis and examined within four sub-phases of the hop test, as well as an average of the task as a whole. K-nearest neighbor machine learning combined with a leave-one-out validation was used to classify the muscle activity patterns as either ACLR or Control. When muscle activity was averaged across the whole hop task, activity patterns for all muscles except the tibialis anterior were identified as being different between the study cohorts. ACLR patients demonstrated continuous muscle activities that spanned take-off, airborne, and landing hop phases versus healthy controls who displayed timed and regulated islets of muscle activities specific to each hop phase. The most striking features were 25-50% greater relative quadriceps intensity and approximately 66% diminished biceps femoris intensity in ACLR patients. The current findings are in contrast to previous work using conventional co-contraction and muscle activation onset EMG measures of the same dataset, underscoring the sensitivity and potential of the wavelet approach coupled with machine learning to reveal meaningful adaptation strategies in this at-risk population.",2022
4,31828089,2019,2019 Nov 15,Biomed Res Int,"['Kaya D', 'Guney-Deniz H', 'Sayaca C', 'Calik M', 'Doral MN']",Doral MN,"Effects on Lower Extremity Neuromuscular Control Exercises on Knee Proprioception, Muscle Strength, and Functional Level in Patients with ACL Reconstruction.",2019,,1694695,['English'],101600173,2314-6133,2314-6141,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,,"['31828089', 'PMC6881759', 'pmc-id: PMC6881759;', '10.1155/2019/1694695']",10.1155/2019/1694695,"['2019/10/01 00:00', '2019/10/31 00:00', '2019/12/13 06:00', '2019/12/13 06:00', '2020/04/24 06:00', '2019/11/15 00:00']",[],1,27,BioMed research international,doi: 10.1155/2019/1694695,2019;2019:1694695,"OBJECTIVE: The purpose of this study was to determine the effects of lower extremity motor control exercises on knee proprioception, muscle strength, and functional level in patients with anterior cruciate ligament reconstruction (ACL-R). MATERIALS AND METHODS: Thirty-two of the 57 patients with ACL-R using tibialis anterior allografts were divided into two groups. Group I: lower extremity motor control exercises were added to the standard rehabilitation program. Group II: standard rehabilitation program was applied. Effects of lower extremity motor control exercises on quadriceps and hamstring muscles strength, knee joint position sense, and hop test were evaluated. RESULTS: There were no differences in muscle strength and endurance of the quadriceps and hamstring between the operative and nonoperative sides in Group I (p > 0.05) while there were significant differences in strength of the quadriceps and hamstring between the operative and nonoperative sides in Group II (p < 0.05). There were significant differences in the endurance of the quadriceps and hamstring and knee joint position sense at 15 degrees , 45 degrees , and 75 degrees  between the operative sides of the patients in both groups (p < 0.05). CONCLUSIONS: The neuromuscular control exercises program was found to be more effective in reducing the difference in strength while the standard program was found to be more effective in reducing the difference in endurance between the operated knee and the other knee. This study revealed that neuromuscular control exercises should also be used to improve knee proprioception sense following ACL-R.",2019
5,28840143,2017 Aug,2017 Aug 7,Orthop J Sports Med,"['Rose M', 'Crawford D']",Crawford D,Allograft Maturation After Reconstruction of the Anterior Cruciate Ligament Is Dependent on Graft Parameters in the Sagittal Plane.,5,8,2325967117719695,['English'],101620522,2325-9671,2325-9671,['Journal Article'],PubMed,,"['28840143', 'PMC5549879', 'pmc-id: PMC5549879;', '10.1177/2325967117719695', '10.1177_2325967117719695']",10.1177/2325967117719695,"['2017/08/26 06:00', '2017/08/26 06:00', '2017/08/26 06:01', '2017/08/07 00:00']",[],1,16,Orthopaedic journal of sports medicine,doi: 10.1177/2325967117719695,2017 Aug;5(8):2325967117719695,"BACKGROUND: Allograft healing (ligamentization) after reconstruction of the anterior cruciate ligament (ACL) is dependent on multiple factors, including tissue processing, host biologic environment, and biomechanical stressors. Magnetic resonance imaging (MRI) can be used to assess graft maturation after ACL reconstruction. HYPOTHESIS: A significant difference will exist in the MRI analysis between 2 distinct allograft constructs. Specifically, the MRI signal-to-noise quotient (SNQ) value will be smaller in quadrupled hamstring tendon (HT) allografts compared with doubled tibialis anterior (TA) allografts due to the difference in graft geometry (surface area-to-volume ratio). STUDY DESIGN: Cohort study; Level of evidence, 2. METHODS: Prospectively collected data from a subset of patients who participated in a randomized controlled trial at a single center from July 2010 to April 2012 were reviewed. Patients underwent ACL reconstruction using either HT or TA allografts. Six months postoperatively, 32 patients underwent noncontrast MRI to assess ligamentization. The SNQ was calculated for the allograft using sagittal noncontrast T2-weighted MRI as follows: SNQ = (S(graft) - S(qaudriceps) )/S(backgroud) . Graft properties including sagittal and coronal angle as well as tibial and femoral tunnel location were measured. All participants completed validated patient-reported outcome measures preoperatively and at 2 years postoperatively. RESULTS: The mean MRI SNQ for the HT and TA allografts was 2.56 +/- 2.41 and 3.15 +/- 3.38, respectively (P = .57). For the entire group, there was a significant correlation between MRI SNQ and both sagittal graft angle (P = .02) and sagittal tibial tunnel position (P < .001). We did not find a significant correlation between the tibial tunnel location in the coronal plane, coronal graft angle, or location of the femoral tunnel and the MRI SNQ. CONCLUSION: Allograft ligamentization 6 months postoperatively, as assessed by MRI, is dependent on position of the tibial tunnel in the sagittal plane as well as sagittal graft orientation. We did not detect a difference in graft maturation at 6 months between the tibialis anterior and hamstring tendon allografts. This is the only study to our knowledge that directly compares quadrupled HT allografts and doubled TA allografts using postoperative MRI.",2017
6,27876265,2016 Dec,2016 Nov 18,Knee,"['Rose MB', 'Domes C', 'Farooqi M', 'Crawford DC']",Crawford DC,A prospective randomized comparison of two distinct allogenic tissue constructs for anterior cruciate ligament reconstruction.,23,6,1112-1120,['English'],9430798,0968-0160,1873-5800,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['27876265', '10.1016/j.knee.2016.08.011', 'S0968-0160(16)30144-2']",10.1016/j.knee.2016.08.011,"['2016/04/26 00:00', '2016/08/24 00:00', '2016/08/27 00:00', '2016/11/24 06:00', '2017/08/16 06:00', '2016/11/24 06:00']",[],1,0,The Knee,doi: 10.1016/j.knee.2016.08.011,2016 Dec;23(6):1112-1120,"BACKGROUND: Conduct a prospective randomized study to compare clinical outcomes of anterior cruciate ligament (ACL) reconstruction using quadrupled hamstring tendon (HT) allograft or doubled tibialis anterior (TA) allograft. Limited level 1 data exist comparing outcomes of different soft tissue allograft constructs for ACL reconstruction. We hypothesized no difference would exist in the patient reported outcomes (PRO), arthrometric testing, or rate of re-rupture between the two constructs. METHODS: Ninety eight subjects undergoing primary ACL reconstruction were randomized to HT (n=47) or TA (n=51) allograft. Subjects completed validated (PRO) measures pre-operatively, and six months and two years post-operatively. Arthrometric testing was performed at six months to assess integrity of the reconstruction. RESULTS: Fifty-eight percent of subjects (57/98) completed a two-year follow up. Allograft re-tear rates were similar between groups (6.2% HT vs. 4.0% TA, respectively, p=1.0). The relative risk of re-tear in the HT group was 1.5 compared to the TA group (p=0.7). The TA group improved significantly more on the physical portion of the VR-12 (p=0.046) and Lysholm score (p=0.014) compared to the HT group. There was no difference in the change from baseline for the other PRO scores at two years. CONCLUSIONS: Our data indicate no difference in graft failure rate and similar improvement from baseline in most PRO scores between treatment groups after two years. Based on these findings, TA allograft appears to provide a reliable and satisfactory option for patients who elect to undergo allograft ACL reconstruction.",2016
7,27570169,2017 Jan,2016 Aug 25,Arthroscopy,"['Wasserman BR', 'Singh BC', 'Kaplan DJ', 'Weinberg M', 'Meislin R', 'Jazrawi LM', 'Strauss EJ']",Strauss EJ,Braking Reaction Time After Right-Knee Anterior Cruciate Ligament Reconstruction: A Comparison of 3 Grafts.,33,1,173-180,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['27570169', '10.1016/j.arthro.2016.05.043', 'S0749-8063(16)30367-X']",10.1016/j.arthro.2016.05.043,"['2015/12/03 00:00', '2016/05/27 00:00', '2016/05/31 00:00', '2016/08/30 06:00', '2017/10/25 06:00', '2016/08/30 06:00']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2016.05.043,2017 Jan;33(1):173-180,"PURPOSE: To determine when patients recover the ability to safely operate the brakes of an automobile after a right-knee anterior cruciate ligament reconstruction (ACLR). METHODS: A computerized driving simulator was used to determine braking ability after an isolated right-knee ACLR. Thirty healthy volunteers were tested at 1 visit to determine normal mean values, and 27 treatment subjects were tested at 1 week, 3 weeks, and 6 weeks after ACLR. Nine study subjects were treated with a patella tendon (BPTB) autograft, 9 were treated with a hamstring (HS) autograft, and 9 were treated with a tibialis anterior (TA) allograft. The driving simulator collected data on brake reaction time (BRT), brake travel time (BTT), and total brake time (TBT) at each visit. RESULTS: The control group generated a BRT of 725 milliseconds, BTT of 2.87 seconds, and TBT of 3.59 seconds. At week 1, all treatment patients had significant differences compared with controls for BRT, BTT, and TBT, except the BTT of the HS group. At week 3, all measures for the allograft group and the BRT for both autograft groups were no longer significantly different compared with controls, but significant differences were found for TBT in the HS and BPTB groups (P = .03, P = .01). At week 6, BRT, BTT, and TBT were no longer significantly different for either the HS group or BPTB group. CONCLUSIONS: Patients who underwent a right-knee ACLR with a TA allograft regained normal braking times by week 3 postoperatively. In contrast, those treated with a BPTB or HS autograft demonstrated significantly delayed braking times at 3 weeks but returned to normal braking ability by week 6. Those treated with an autograft had an earlier return of normalized BRT than BTT. LEVEL OF EVIDENCE: Level III, case-control series.",2017
8,26718638,2017 Apr,2015 Dec 30,Knee Surg Sports Traumatol Arthrosc,"['Yoo SH', 'Song EK', 'Shin YR', 'Kim SK', 'Seon JK']",Seon JK,Comparison of clinical outcomes and second-look arthroscopic findings after ACL reconstruction using a hamstring autograft or a tibialis allograft.,25,4,1290-1297,['English'],9314730,0942-2056,1433-7347,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['26718638', '10.1007/s00167-015-3955-3', '10.1007/s00167-015-3955-3']",10.1007/s00167-015-3955-3,"['2015/05/29 00:00', '2015/12/15 00:00', '2016/01/01 06:00', '2017/10/20 06:00', '2016/01/01 06:00']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1007/s00167-015-3955-3,2017 Apr;25(4):1290-1297,"PURPOSE: The purpose of this prospective randomized clinical study was to compare the clinical and radiological outcomes, including tibial tunnel widening and the progression of osteoarthritis after ACL reconstruction using a hamstring autograft or a tibialis allograft. In addition, we compared the graft tear and synovial coverage of grafts in patients that underwent the second-look arthroscopy. METHODS: Among 184 patients with an ACL injury who underwent ACL reconstruction, 68 patients of autograft group and 64 patients of tibialis allograft group were included for this study after minimum of 2-year follow-up. The Lachman and pivot-shift tests, Tegner activity score, Lysholm knee score, and IKDC score were compared between the two groups. The quadriceps and hamstring isokinetic strengths using dynamometer were also compared. Degree of OA was determined using the Kellgren-Lawrence grading system on the weight-bearing radiographs. In total, 51 patients (26 patients in autograft group and 25 in the tibialis allograft group) underwent the second-look arthroscopy, in which we compared the apparent tear of graft and synovial coverage of grafts. RESULTS: At the final follow-up, there were no statistical significances in the two groups in Lachman and pivot-shift tests (n.s.). The Tegner activity, Lysholm knee score, and IKDC scores were similar in the two groups. Moreover, no significant differences were observed in the muscle power (n.s.). Some patients showed the progression of OA (five in autograft and four in allograft groups) without intergroup difference (n.s.). Regarding the findings of second-look arthroscopy, although there was no significant difference in graft tear, synovial coverage was better in autograft group than in allograft group. CONCLUSION: Even though hamstring autografts and tibialis allografts provided good functional outcomes without significant differences, the second-look arthroscopy revealed that hamstring autografts produced better synovial coverage than tibialis allograft. LEVEL OF EVIDENCE: I.",2017
9,26311445,2015 Oct,2015 Aug 26,Am J Sports Med,"['Bottoni CR', 'Smith EL', 'Shaha J', 'Shaha SS', 'Raybin SG', 'Tokish JM', 'Rowles DJ']",Rowles DJ,"Autograft Versus Allograft Anterior Cruciate Ligament Reconstruction: A Prospective, Randomized Clinical Study With a Minimum 10-Year Follow-up.",43,10,2501-9,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['26311445', '10.1177/0363546515596406', '0363546515596406']",10.1177/0363546515596406,"['2015/08/28 06:00', '2015/08/28 06:00', '2016/05/04 06:00']",[],1,0,The American journal of sports medicine,doi: 10.1177/0363546515596406,2015 Oct;43(10):2501-9,"BACKGROUND: The use of allografts for anterior cruciate ligament (ACL) reconstruction in young athletes is controversial. No long-term results have been published comparing tibialis posterior allografts to hamstring autografts. PURPOSE: To evaluate the long-term results of primary ACL reconstruction using either an allograft or autograft. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: From June 2002 to August 2003, patients with a symptomatic ACL-deficient knee were randomized to receive either a hamstring autograft or tibialis posterior allograft. All allografts were from a single tissue bank, aseptically processed, and fresh-frozen without terminal irradiation. Graft fixation was identical in all knees. All patients followed the same postoperative rehabilitation protocol, which was blinded to the therapists. Preoperative and postoperative assessments were performed via examination and/or telephone and Internet-based questionnaire to ascertain the functional and subjective status using established knee metrics. The primary outcome measures were graft integrity, subjective knee stability, and functional status. RESULTS: There were 99 patients (100 knees); 86 were men, and 95% were active-duty military. Both groups were similar in demographics and preoperative activity level. The mean and median ages of both groups were identical at 29 and 26 years, respectively. Concomitant meniscal and chondral pathologic abnormalities, microfracture, and meniscal repair performed at the time of reconstruction were similar in both groups. At a minimum of 10 years (range, 120-132 months) from surgery, 96 patients (97 knees) were contacted (2 patients were deceased, and 1 was unable to be located). There were 4 (8.3%) autograft and 13 (26.5%) allograft failures that required revision reconstruction. In the remaining patients whose graft was intact, there was no difference in the mean Single Assessment Numeric Evaluation, Tegner, or International Knee Documentation Committee scores. CONCLUSION: At a minimum of 10 years after ACL reconstruction in a young athletic population, over 80% of all grafts were intact and had maintained stability. However, those patients who had an allograft failed at a rate over 3 times higher than those with an autograft.",2015
