,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract,year
0,42459597,2026 Jul,2026 Jul 14,Orthop J Sports Med,"['Brewbaker CL', 'Moran TE', 'Wolla CD', 'Pullen WM', 'Wolf BJ', 'Pillow CF', 'Slone HS']",Slone HS,Functional and Analgesic Effects of iPACK Blocks Added to Continuous Adductor Canal Blocks for ACL Reconstruction With Quadriceps Tendon Autograft: A Randomized Controlled Trial.,14,7,23259671261445908,['English'],101620522,2325-9671,2325-9671,['Journal Article'],PubMed,,"['42459597', 'PMC13369380', 'pmc-id: PMC13369380;', '10.1177/23259671261445908', '10.1177_23259671261445908']",10.1177/23259671261445908,"['2026/03/09 00:00', '2026/03/21 00:00', '2026/07/16 06:35', '2026/07/16 06:34', '2026/07/16 04:37', '2026/07/14 00:00']",[],1,26,Orthopaedic journal of sports medicine,doi: 10.1177/23259671261445908,2026 Jul;14(7):23259671261445908,"BACKGROUND: An adjunctive infiltration between popliteal artery and capsule of the posterior knee (iPACK) block-an infiltration between the popliteal artery and posterior knee capsule-has been used in knee surgery to address posterior knee pain, complementing the anterior and medial sensory coverage of an adductor canal block (ACB). Its benefit in all-inside anterior cruciate ligament reconstruction (ACL-R) using quadriceps tendon (QT) autograft remains uncertain. PURPOSE: To compare acute postoperative pain, opioid consumption, and 6-week knee range of motion between patients receiving continuous ACB alone and continuous ACB plus a single-shot iPACK block. STUDY DESIGN: Randomized controlled trial; Level of evidence, 2. METHODS: Patients undergoing primary all-inside ACL-R with QT autograft were randomized to either continuous ACB with placebo skin wheal (ACB group) or continuous ACB with iPACK (ACB-iPACK group). Demographic and surgical data were collected prospectively. The primary outcome was visual analog scale (VAS) pain scores during the first 72 postoperative hours. Secondary outcomes included opioid use (morphine milligram equivalents), achievement of full knee extension, and difference in maximal flexion between the surgical and nonsurgical limb at 6 weeks. RESULTS: A total of 71 patients were analyzed (ACB, n = 33; ACB-iPACK, n = 38), with no significant group differences in baseline characteristics. Median VAS scores at discharge were significantly lower in the ACB-iPACK group (20 mm) versus the ACB group (32.5 mm) (P = .049). No further differences occurred between 12 and 72 hours postoperatively. Perioperative and postoperative opioid consumption did not differ between groups (perioperative, P = .52; postoperative, P = .47 to >/=.99). Rates of achieving full extension were similar. At 6 weeks, the difference in knee flexion between limbs was significantly smaller in the ACB-iPACK group (37.7 degrees ) compared with the ACB group (47.6 degrees ) (mean difference, 9.9 degrees ; P = .02). No perioperative regional anesthesia complications occurred. CONCLUSION: Adding an iPACK block to continuous ACB for all-inside ACL-R with QT autograft provided a slight reduction in pain at discharge (VAS difference, 12.5 mm) and improved knee flexion at 6 weeks. However, pain scores and opioid use beyond the immediate postoperative period were not significantly different between groups. These findings may help guide patient counseling regarding the expected benefits of incorporating an iPACK block in this surgical setting. REGISTRATION: NCT05498870 (ClinicalTrials.gov identifier).",2026
1,42349518,2026 Jun 25,2026 Jun 25,Int J Sports Med,"['Kong DH', 'Jang J', 'Cho SI', 'Yang SJ', 'Lee DW', 'Kim JG', 'Park HY']",Park HY,Neuromuscular electrical stimulation after anterior cruciate ligament reconstruction.,,,,['English'],8008349,0172-4622,1439-3964,"['Clinical Trial', 'Journal Article']",PubMed - as supplied by publisher,aheadofprint,"['42349518', '10.1055/a-2903-1345']",10.1055/a-2903-1345,"['2026/06/26 00:53', '2026/06/26 00:53', '2026/06/25 19:24']",[],1,0,International journal of sports medicine,doi: 10.1055/a-2903-1345,2026 Jun 25;,"This randomized controlled trial examined the effects of adding neuromuscular electrical stimulation (NMES) to rehabilitation exercise on quadriceps muscle strength (primary outcome) and secondary exploratory outcomes after anterior cruciate ligament reconstruction. Twenty-four male participants were randomly allocated to rehabilitation exercise alone or combined with NMES. Both groups performed range of motion exercises during weeks 1 to 3, followed by progressive quadriceps strengthening three times weekly for 9 weeks. Both groups improved in isokinetic muscle function, with larger effect sizes in the RE+NMES group (d = 0.883-1.488) than in the RE group. Patient-reported outcomes improved in both groups for the Lysholm score (d = 1.527 vs. 0.653), whereas changes in the IKDC score were greater in RE+NMES (d = 1.006 vs. 0.034). Balance improved with larger effects in RE+NMES under stable (d = 0.710 vs. 0.160) and unstable conditions (d = 1.988 vs. 0.029), while Y-balance showed similar changes. Muscle morphology showed greater increases in RE+NMES for cross-sectional area (d = 1.127 vs. 0.070) and thickness (d = 0.737 vs. 0.203). Biomarker responses were also larger in RE+NMES. Overall, NMES was associated with favorable trends across several functional and clinical outcomes.",2026
2,42275424,2026,2026 Jun 11,PLoS One,"['Esfahani NH', 'Roostayi MM', 'Hovsepian V', 'Baghban AA', 'Rezaeian ZS', 'Jaberzadeh S']",Jaberzadeh S,Integrating multi-session transcranial direct current stimulation with routine physical therapy to improve quadriceps strength and activation in athletes during subacute recovery following ACL reconstruction: A double-blind RCT.,21,6,e0345947,['English'],101285081,,1932-6203,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,,"['42275424', '10.1371/journal.pone.0345947', 'PONE-D-25-48064', 'PMC13257960', 'pmc-id: PMC13257960;']",10.1371/journal.pone.0345947,"['2025/09/29 00:00', '2026/03/11 00:00', '2026/06/15 11:31', '2026/06/11 18:35', '2026/06/11 13:43', '2026/06/11 00:00']",[],1,58,PloS one,doi: 10.1371/journal.pone.0345947,2026;21(6):e0345947,"OBJECTIVE: Anterior cruciate ligament reconstruction (ACLR) is often associated with persistent quadriceps weakness and impaired voluntary activation. Integrating active anodal transcranial direct current stimulation (a-tDCS) with routine physical therapy (RPT) may offer additional neuromodulatory benefits during the subacute phase of rehabilitation in nonprofessional male athletes. METHODS: Twenty male nonprofessional athletes (mean age: 27.50 +/- 7.24 years, BMI: 25.83 +/- 3.49) were randomly assigned to two groups: active M1 a-tDCS + RPT (n = 10) and sham M1 a-tDCS + RPT (n = 10). Both groups received 10 sessions of a-tDCS during RPT. The active group received 2 mA stimulation for 20 minutes per session, while the sham group received 2 mA for 30 seconds, followed by ramp-down and discontinuation. Quadriceps strength was measured using an isokinetic dynamometer, voluntary activation was assessed using the superimposed burst technique (Central Activation Ration (CAR) method) Baseline measurements were taken after 10 weeks of RPT, prior to the combined intervention phase. RESULTS: The active a-tDCS group demonstrated a significant improvement in CAR compared to the sham group (mean difference: 6.85%; 95% CI: 1.92-11.77; p = 0.01), while the sham group showed a slight, non-significant decrease (2.54%; p = 0/80). Within-group analysis revealed significant voluntary activation improvements in the active group (p = 0.005), with no significant changes in the sham group (p = 0.59). No significant between-group differences in quadriceps strength were observed (p = 0.4), although both groups showed significant within-group improvements (active: 21.8%, P </= 0.001; sham: 14.8%, p = 0.02), likely due to the effects of RPT. CONCLUSION: The integration of multi-session a-tDCS with RPT during the subacute phase of ACLR recovery significantly enhanced voluntary activation and knee-specific function, as measured by the International Knee Documentation Committee (IKDC) score. These findings suggested that multiple-channel a-tDCS may facilitate neural activation and functional recovery, with clinically meaningful improvements in IKDC scores observed in the active group. Trial Registration: Iranian Registry of Clinical Trials (IRCT) Registration Number: IRCT20231113060048N1; Registered on December 28, 2023. URL: https://irct.behdasht.gov.ir/search/result?query=IRCT20231113060048N1.",2026
3,42092903,2026 May 6,2026 May 6,BMC Musculoskelet Disord,"['Zheng QY', 'Chen L', 'Zhu YS', 'Wang RS', 'Chen P']",Chen P,Blood flow restriction as an adjunct during mid-stage rehabilitation after ACL reconstruction: a randomized sham-controlled study.,27,1,,['English'],100968565,,1471-2474,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,epublish,"['42092903', '10.1186/s12891-026-09908-5', '10.1186/s12891-026-09908-5', 'PMC13312636', 'pmc-id: PMC13312636;']",10.1186/s12891-026-09908-5,"['2026/02/25 00:00', '2026/04/27 00:00', '2026/06/30 06:31', '2026/05/07 06:37', '2026/05/07 00:40', '2026/05/06 00:00']",[],1,47,BMC musculoskeletal disorders,doi: 10.1186/s12891-026-09908-5,2026 May 6;27(1),"PURPOSE: To determine whether adjunctive blood flow restriction (BFR) training during postoperative weeks 13-20 is associated with differences in functional, strength, balance, muscle morphology, and neuromuscular outcomes compared with sham BFR following anterior cruciate ligament reconstruction (ACLR). METHODS: In this single-centre randomized controlled trial, 48 patients aged 18-35 years who underwent primary unilateral ACLR were randomly assigned to a BFR group or a Sham-BFR group. From postoperative weeks 13 to 20, both groups performed identical low-load resistance training (30% one-repetition maximum) twice weekly. The BFR group received individualized blood flow restriction at 40% arterial occlusion pressure, whereas the Sham-BFR group underwent the same protocol with minimal cuff pressure. Outcomes assessed at postoperative week 24 included the International Knee Documentation Committee (IKDC) score, Tegner Activity Scale, knee range of motion (ROM), isometric knee extensor and flexor strength, quadriceps muscle thickness, Y-Balance Test performance, and quadriceps surface electromyography (sEMG). RESULTS: Forty-three patients completed the study (BFR, n = 21; Sham-BFR, n = 22). At 24 weeks postoperatively, the BFR group demonstrated statistically significantly higher IKDC score and Tegner Activity Scale than the Sham-BFR group (p < 0.01). Knee extensor and flexor strength, Y-Balance Test composite scores, and quadriceps sEMG amplitudes were also significantly greater in the BFR group (p < 0.05). No significant between-group differences were observed in knee ROM or quadriceps muscle thickness. CONCLUSION: Adjunctive BFR training during mid-stage ACLR rehabilitation was associated with more favourable functional, strength, balance, and neuromuscular outcomes than sham BFR at 24 weeks postoperatively. These findings should be interpreted cautiously because baseline outcome measurements and immediate post-intervention assessments were not available. TRIAL REGISTRATION: (Chinese Clinical Trial Registry ( https://www.chictr.org.cn ), No. ChiCTR2400087631, 31/07/2024).",2026
4,42085052,2026 May 1,2026 May 1,Niger Postgrad Med J,"['Feng H', 'Kahar JBA', 'Malek IZBA', 'Saleh MZB']",Saleh MZB,"Effects of Functional Rehabilitation on Muscle Strength, Dynamic Balance and Functional Performance 1 Year after Anterior Cruciate Ligament Reconstruction: A Randomised Controlled Trial.",33,3,311-321,['English'],9613595,1117-1936,,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['42085052', '10.4103/npmj.npmj_504_25', '00130415-202605000-00004']",10.4103/npmj.npmj_504_25,"['2025/09/22 00:00', '2026/01/12 00:00', '2026/05/05 18:33', '2026/05/05 18:32', '2026/05/05 12:15']",[],1,0,The Nigerian postgraduate medical journal,doi: 10.4103/npmj.npmj_504_25,2026 May 1;33(3):311-321,"BACKGROUND: Return to sport (RTS) success rates remain suboptimal for high sports demand individuals (HSDs) following anterior cruciate ligament reconstruction (ACLR). Traditional rehabilitation model (TRM) primarily focuses on strength recovery and range of motion but demonstrates deficiencies in neuromuscular control and sport-specific conditioning. AIMS: This study aimed to compare the effects of functional rehabilitation model (FRM) versus Traditional rehabilitation model (TRM) on post-operative functional recovery and RTS outcomes in HSDs. METHODS: A prospective single-blind randomised controlled trial was conducted including 64 HSDs who underwent ACLR (exercise >/=3 times per week, Tegner score >5), randomly allocated to the FRM group ( n = 32) and TRM group ( n = 32). The FRM group received a performance-based progressive 24-week rehabilitation protocol incorporating multimodal sensory training, closed-chain exercises, unstable surface proprioceptive training and sport-specific skill integration. The TRM group received a standard time-oriented 24-week rehabilitation protocol. The primary outcomes included 48-week RTS rate and functional recovery trajectory. The secondary outcomes included isokinetic strength, single-leg hop tests, modified star excursion balance test, proprioception and patient-reported outcomes (International Knee Documentation Committee [IKDC], Lysholm and Anterior Cruciate Ligament-Return to Sport after Injury [ACL-RSI]). Assessment time points included pre-operative baseline, 24 weeks and 48 weeks postoperatively. Repeated measures analysis of variance was used to evaluate longitudinal changes. RESULTS: Fifty-seven patients completed follow-up (retention rate: 89.1%). The FRM group demonstrated significantly higher 48-week successful RTS rate compared to the TRM group (89.3% vs. 62.1%, P = 0.038), with relative risk 1.44 (95% confidence interval: 1.05-1.97) and number needed to treat 3.7. Repeated measures analysis revealed that the FRM group significantly outperformed the TRM group in quadriceps peak torque (48 weeks: 124.17 +/- 7.25 vs. 98.42 +/- 8.73 Nm, P < 0.001) and limb symmetry index (89.15% +/- 3.85% vs. 69.45% +/- 5.15%, P < 0.001). In single-leg hop tests, the FRM group demonstrated superior performance in lateral hop time (5.54 +/- 2.25 vs. 7.84 +/- 3.37 s, P = 0.004) and box hop symmetry index (97.50% +/- 29.60% vs. 76.20% +/- 31.40%, P = 0.011). Proprioceptive testing showed that the FRM group had smaller position sense errors at 30 degrees  (2.83 degrees  +/- 1.63 degrees  vs. 4.25 degrees  +/- 1.85 degrees , P = 0.002) and 45 degrees knee flexion angles (6.37 degrees  +/- 1.69 degrees  vs. 7.57 degrees  +/- 1.73 degrees , P = 0.008). Patient-reported outcomes demonstrated the FRM group superiority in IKDC (89.45 +/- 9.72 vs. 83.45 +/- 12.73, P = 0.028), Lysholm (88.71 +/- 5.78 vs. 76.12 +/- 12.38, P < 0.001) and ACL-RSI scores (79.52 +/- 8.17 vs. 70.35 +/- 10.24, P < 0.001). The FRM group exhibited sustained linear improvement patterns, while the TRM group showed a recovery plateau after 24 weeks. CONCLUSION: Compared to TRM, FRM significantly improved functional recovery trajectories and RTS outcomes in HSDs through enhanced neuromuscular control, improved dynamic performance and increased psychological readiness.",2026
5,42036710,2026 Apr 26,2026 Apr 26,J Orthop Surg Res,"['Donegan T', 'Amestoy-Alonso B', 'Spanlang B', 'Sastre S', 'Combalia A', 'Sanchez-Vives MV']",Sanchez-Vives MV,Decreased kinesiophobia with virtual embodiment for post-surgical knee rehabilitation: a randomized controlled trial.,21,1,,['English'],101265112,,1749-799X,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,epublish,"['42036710', '10.1186/s13018-026-06865-6', '10.1186/s13018-026-06865-6', 'PMC13276964', 'pmc-id: PMC13276964;']",10.1186/s13018-026-06865-6,"['2025/11/13 00:00', '2026/04/12 00:00', '2026/06/18 06:31', '2026/04/27 00:30', '2026/04/26 23:50', '2026/04/26 00:00']",[],1,40,Journal of orthopaedic surgery and research,doi: 10.1186/s13018-026-06865-6,2026 Apr 26;21(1),"Anterior cruciate ligament (ACL) ruptures are prevalent, particularly among young athletes. Although ligament reconstruction is the gold standard treatment, the rehabilitation process is extensive and has high reinjury rates. Recovery is often hindered by muscle inhibition and psychological factors like kinesiophobia and associated fear of reinjury. Emerging evidence suggests that motor imagery and action observation could enhance rehabilitation outcomes. Immersive virtual reality (VR) offers a novel way to integrate these techniques, potentially accelerating recovery. In this parallel randomized controlled trial, patients undergoing ACL reconstruction were randomly assigned to receive either conventional rehabilitation alone or conventional rehabilitation plus VR training. Our VR content incorporated several novel elements, including embodiment in a virtual body, first-person perspective, and the performance of virtual exercises guided by a virtual physiotherapist. Another innovative feature was that patients conducted the daily VR training independently at home using a standalone head-mounted display. The VR group performed a 20-min daily VR rehabilitation program for 4 weeks post-surgery, visualizing, planning, and executing movements using an embodied virtual avatar. Self-reported disability (International Knee Documentation Committee score, IKDC), quadriceps strength limb symmetry, active knee extension range of motion (ROM) limb symmetry, and kinesiophobia (Tampa Scale of Kinesiophobia-short form, TSK-11) were measured at baseline, 4, 12, and 36 weeks. Forty-seven participants were randomized, with 44 completing treatment. IKDC scores were not statistically significantly different between groups, despite moderate effect sizes at 4 and 36 weeks (Cohen's d = 0.559, and d = 0.722, respectively). The VR intervention group showed significantly lower kinesiophobia at 4 weeks post-surgery compared to controls (27.00 +/- 6.58 vs. 33.35 +/- 5.07, Cohen's d = - 0.971, p = 0.045). Both groups demonstrated significant improvements in all outcomes over time (p < 0.001). No significant differences were found for range of motion or quadriceps strength limb symmetry. No adverse events were reported related to the intervention. Reducing kinesiophobia is crucial for timely and effective rehabilitation and return to sport, and for reducing reinjury risk. To our knowledge, this is the first clinical study to investigate the independent use of therapeutic VR at home during post-orthopedic surgery rehabilitation. Future research should explore different VR interventions, including more active exercises and personalized programs, to enhance adherence and optimize recovery. The study was pre-registered with the National Library of Medicine (NCT05080894; first registered 09/20/2021).",2026
6,41998557,2026 Apr 17,2026 Apr 17,BMC Musculoskelet Disord,"['Ge X', 'Gao M', 'Suo L', 'Tao Y', 'Ren S', 'Ao Y']",Ao Y,Effects of visual feedback balance training on muscle strength and balance ability in patients after anterior cruciate ligament reconstruction surgery.,27,1,,['English'],100968565,,1471-2474,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,epublish,"['41998557', 'PMC13107771', 'pmc-id: PMC13107771;', '10.1186/s12891-026-09823-9', '10.1186/s12891-026-09823-9']",10.1186/s12891-026-09823-9,"['2026/01/27 00:00', '2026/04/07 00:00', '2026/06/27 18:37', '2026/04/18 13:10', '2026/04/17 23:45', '2026/04/17 00:00']",[],1,59,BMC musculoskeletal disorders,doi: 10.1186/s12891-026-09823-9,2026 Apr 17;27(1),"OBJECTIVE: To investigate the effects of visual feedback balance training on lower limb motor function in patients following anterior cruciate ligament reconstruction (ACLR), and to provide evidence for optimizing postoperative rehabilitation protocols. DESIGN: Randomized controlled trial. METHOD: This study employed a prospective, single-blind, randomized controlled trial design. Initially, 42 patients were assigned (21 per group), with 33 ultimately completing the study (intervention group n = 17, control group n = 16). Both groups commenced a 10-week training program consisting of three sessions per week starting at week 5 postoperatively. Assessments were conducted preoperatively and postintervention using isokinetic muscle strength testing, dynamic balance testing, the Visual Analog Scale (VAS), the International Knee Disease Classification (IKDC) score, and the Lysholm score. RESULTS: In terms of isokinetic strength of the thigh, the intervention group showed significant improvements in concentric quadriceps strength (Qc) and concentric hamstring strength (Hc) at 60 degrees /s post-intervention (P < 0.05). In the control group, limb symmetry index (LSI) of Qc at 180 degrees /s, as well as LSI of Hc at 60 degrees /s and 180 degrees /s, significantly decreased after the intervention (P < 0.05). Compared with the control group, the intervention group demonstrated significantly greater Qc and Hc at both 60 degrees /s and 180 degrees /s, 60 degrees /s hamstring-to-quadriceps strength ratio (H/Q), and Qc and Hc LSI at both 60 degrees /s and 180 degrees /s (P < 0.05).Regarding dynamic balance, the intervention group showed significant improvements in green target performance, coordination, and stability (P < 0.05), significantly outperforming the control group across multiple metrics. The control group only showed improvement in coordination (P < 0.05). Regarding functional outcomes, the intervention group showed significant improvement in VAS and IKDC scores after the intervention (P < 0.05). However, improvement in VAS did not reach minimal clinically important difference (MCID) and was not clinically meaningful, whereas improvement in IKDC exceeded MCID. The intervention group also showed significantly greater improvements in VAS, IKDC, and Lysholm scores compared to the control group (P < 0.05). CONCLUSION: This preliminary study suggests that visual feedback balance training may improve lower limb muscle strength, dynamic balance, and functional outcomes in patients after ACLR, though these findings require confirmation in larger, long-term trials. TRIAL REGISTRATION: ClinicalTrials.gov (NCT07306221 registered on 20 November 2025 retrospectively registered).",2026
7,41803188,2026 Mar 9,2026 Mar 9,Sci Rep,"['Abel R', 'Niederer D', 'Glowa A', 'Hansen N', 'Wilke C', 'Offerhaus C']",Offerhaus C,Effectiveness of exercise prehabilitation before anterior cruciate ligament reconstruction on functional outcomes - a single-blinded randomized controlled trial.,16,1,,['English'],101563288,,2045-2322,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,epublish,"['41803188', 'PMC12987922', 'pmc-id: PMC12987922;', '10.1038/s41598-026-41576-2', '10.1038/s41598-026-41576-2']",10.1038/s41598-026-41576-2,"['2025/05/16 00:00', '2026/02/20 00:00', '2026/06/27 16:09', '2026/03/10 07:00', '2026/03/10 00:19', '2026/03/09 00:00']",[],1,50,Scientific reports,doi: 10.1038/s41598-026-41576-2,2026 Mar 9;16(1),"Objective: To compare the effectiveness of an individually tailored, adaptive, guided, structured and criteria-based preoperative rehabilitation program (IG) to a structured, non-guided, self-administered home training program (CG) in individuals after an anterior cruciate ligament (ACL) rupture. Methods: We enrolled participants 16 to 60 years with a unilateral ACL rupture, scheduled for reconstruction using a hamstring or quadriceps tendon autograft. They were assessor-blinded 1:1 block-randomized to the IG or the CG. Self-reported knee function, assessed using the Knee injury and Osteoarthritis Outcome Score (KOOS), was the primary outcome. Secondary outcomes included functional measures (range of motion, muscle strength, functional limb asymmetries, and hopping ability) as well as self-reported psychological readiness to return to sport. Parameters were assessed at up to seven time points: anamnesis in the hospital, 1 to 7 days before the surgery, on the day of surgery, 30, 60, 90, and 180 days post-surgery. Intention-to-treat based linear mixed models were calculated using the change scores since anamnesis. Results: Of 114 enrolled participants (mean age = 31.03, SD = 10.30 years; 53% females), 58 participants discontinued intervention or dropped out. The IG (KOOS score anamnesis: 46.04, 95% confidence interval = [45.07 to 47.02]; pre-reconstruction: 58.52, [57.51 to 59.54]) demonstrated a more pronounced preoperative improvement in the KOOS score compared to the CG (51.01, [50.10 to 51.92]; 59.18, [58.40 to 59.96]). The interaction (group*time) of the KOOS sum score differed for the change score to the surgery day (p = 0.039) and to 60 days postoperative (p = 0.039). Conclusion: The individually tailored preoperative rehabilitation program may improve perceived knee function more than self-guided training. Caution and future research are needed as the effects were small.Trial registration: German Register of Clinical Trials, DRKSID: DRKS00030312, Date of registration in DRKS 26.09.2022.",2026
8,41761462,2026 Mar,,J Orthop Res,"['Dennis JD', 'Edison AE', 'Birchmeier TB', 'Pietrosimone BG', 'Blackburn JT']",Blackburn JT,Whole Body Vibration Acutely Decreases Medial Tibiofemoral Contact Force During Walking Following Anterior Cruciate Ligament Reconstruction.,44,3,e70166,['English'],8404726,0736-0266,1554-527X,"['Journal Article', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, Non-P.H.S.""]",PubMed - indexed for MEDLINE,ppublish,"['41761462', '10.1002/jor.70166']",10.1002/jor.70166,"['2026/01/29 00:00', '2025/10/22 00:00', '2026/02/17 00:00', '2026/03/06 09:11', '2026/02/28 06:34', '2026/02/28 00:42']",[],1,0,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,doi: 10.1002/jor.70166,2026 Mar;44(3):e70166,"Investigating the loading environment of the tibiofemoral joint is critical following anterior cruciate ligament reconstruction (ACLR), given these individuals incur a high risk of post-traumatic osteoarthritis (PTOA). Whole-body vibration (WBV) and local muscle (LMV) vibration acutely improve isometric quadriceps function and gait biomechanics linked to PTOA development, but it is unclear how vibration affects tibiofemoral contact and quadriceps forces during walking. Participants with unilateral, primary ACLR were randomized to control (n = 21, time since ACLR = 23 +/- 15), WBV (n = 25, time since ACLR = 27 +/- 15), or LMV (n = 23, time since ACLR = 31 +/- 16) groups, and walking biomechanics were assessed before and immediately following the respective interventions. Peak medial, lateral, and total tibiofemoral contact forces, as well as rectus femoris, vastus medialis, vastus intermedius, and vastus lateralis forces, were compared between groups and across time with 2 x 3 repeated measure ANCOVAs while controlling for gait speed and time since ACLR. Medial contact force decreased following WBV (mean difference = -0.219, p = 0.001, d = -0.643) but was unaltered by LMV. Peak lateral contact, total contact, and quadriceps forces were unaltered by WBV or LMV (p > 0.05). Greater medial contact forces during gait have been implicated in the development of idiopathic osteoarthritis, and individuals with ACLR often exhibit signs of limb overloading in the later stages of recovery (e.g., > 2 years post-ACLR). WBV may offer a targeted strategy to reduce PTOA risk in those who overload the ACLR limb by decreasing medial knee compartment loading.",2026
9,41682670,2026 Jan 26,2026 Jan 26,J Clin Med,"['Blanco-López L', 'Nácher-Moltò I', 'Sánchez-González JL', 'Casado-Gómez D', 'Cases-Sebastià A', 'Reina-Abellán J']",Reina-Abellán J,Effectiveness of Transcutaneous and Percutaneous Electrical Nerve Stimulation as Adjunct Therapies in Patients After Anterior Cruciate Ligament Reconstruction: Study Protocol for a Randomized Controlled Trial.,15,3,,['English'],101606588,2077-0383,2077-0383,['Journal Article'],PubMed,epublish,"['41682670', 'PMC12897853', 'pmc-id: PMC12897853;', '10.3390/jcm15030989', 'jcm15030989']",10.3390/jcm15030989,"['2025/12/23 00:00', '2026/01/15 00:00', '2026/01/23 00:00', '2026/02/13 06:33', '2026/02/13 06:32', '2026/02/13 01:06', '2026/01/26 00:00']",[],1,94,Journal of clinical medicine,doi: 10.3390/jcm15030989,2026 Jan 26;15(3),"Background/Objectives: Quadriceps arthrogenic muscle inhibition (AMI) represents a key impairment following anterior cruciate ligament reconstruction (ACLR), contributing to quadriceps weakness. Although transcutaneous electrical nerve stimulation (TENS) and percutaneous electrical nerve stimulation (PENS) have been primarily investigated for analgesia, their effects on quadriceps strength in the early postoperative period remain underexplored. Methods: This study describes a single-blinded, parallel-group randomized controlled trial investigating the short-term effects of a single high-frequency TENS session and a novel long-term potentiation (LTP) PENS protocol on quadriceps strength and related clinical outcomes after ACLR. Fifty-four participants will be randomly allocated using block randomization in a 1:1:1 ratio to one of three groups: a control group (conventional post-ACLR rehabilitation only), a TENS group (conventional rehabilitation plus a single high-frequency TENS session), or a PENS group (conventional rehabilitation plus a single LTP PENS session). Participants will receive neuromodulatory intervention during the sixth postoperative week. The LTP PENS protocol consists of five 5 s stimulation bursts at 100 Hz and 250 mus pulse width and has only been investigated once in patients with upper limb pathology, underscoring its novelty in a postoperative setting. Results: The primary outcome is quadriceps maximal voluntary isometric contraction, selected as a clinically relevant surrogate of quadriceps activation deficits associated with AMI. Secondary outcomes include pain intensity, pressure pain threshold, knee range of motion, thigh muscle perimeter, knee effusion and swelling, and self-reported function and knee-related quality of life. Outcomes will be assessed at baseline, immediately post-treatment, and 1 and 7 days post-intervention by a blinded assessor.",2026
